time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	9.84336e-15	1.15143e-15	1.51681e-15	1.93845e-16	1.47544e-15	6.15813e-16	6.777e-16	1.13513e-16	8.6836e-18
0.00717034	6.92603e-15	6.48067e-10	7.24936e-16	1.57233e-15	1.69987e-15	1.48538e-15	5.93766e-16	7.15054e-16	1.28749e-15
0.0143407	3.42152e-14	2.33887e-09	1.22146e-15	7.64219e-16	3.45769e-15	1.32737e-15	2.39161e-15	1.43074e-15	1.05934e-15
0.021511	1.30396e-13	4.4385e-09	2.31069e-15	8.9169e-16	3.69455e-15	1.56865e-15	2.01532e-15	1.60897e-15	1.48029e-15
0.0286814	2.88145e-13	6.23607e-09	1.03333e-14	2.2507e-15	4.31928e-16	1.70786e-15	3.26899e-15	2.41169e-15	2.90283e-15
0.0358517	4.97714e-13	7.27372e-09	3.82203e-14	2.15613e-15	4.20512e-15	2.49501e-15	3.17484e-15	3.08751e-15	3.33067e-15
0.0430221	7.35968e-13	7.56326e-09	9.24065e-14	1.79312e-15	7.41642e-15	2.6034e-15	4.44388e-15	3.02378e-15	5.37789e-15
0.0501924	9.89823e-13	7.60985e-09	1.55347e-13	4.01363e-15	7.70316e-15	2.56003e-15	3.45192e-15	2.57633e-15	3.89804e-15
0.0573627	1.25761e-12	8.11235e-09	2.12793e-13	3.81389e-15	9.61307e-15	1.73074e-15	2.21451e-15	7.37712e-16	2.7247e-15
0.0645331	1.54423e-12	9.34632e-09	2.57311e-13	2.11793e-15	1.34859e-14	2.96885e-15	3.58406e-15	1.08863e-15	4.33687e-16
0.0717034	1.85195e-12	1.10061e-08	3.05317e-13	1.06602e-15	1.08974e-14	2.87092e-15	3.2261e-15	3.175e-15	3.52933e-15
0.0788738	2.1869e-12	1.26819e-08	3.78607e-13	2.79412e-15	1.04604e-14	2.9567e-15	1.34572e-15	5.44746e-15	6.01294e-15
0.0860441	2.54794e-12	1.41666e-08	4.89395e-13	2.74301e-15	6.08374e-15	1.12174e-15	1.58725e-15	6.65231e-15	1.10429e-14
0.0932144	2.93208e-12	1.5475e-08	6.07832e-13	7.47348e-16	4.13621e-15	1.74927e-15	1.55259e-15	9.12517e-15	1.47767e-14
0.100385	3.3456e-12	1.67679e-08	7.33342e-13	2.17899e-15	5.75368e-15	2.8225e-15	2.35635e-15	1.12041e-14	2.09558e-14
0.107555	3.7892e-12	1.82444e-08	8.60487e-13	1.43333e-15	1.34829e-14	3.29811e-15	3.18703e-15	1.01152e-14	2.25612e-14
0.114725	4.27374e-12	2.00362e-08	9.88922e-13	2.83921e-15	1.89861e-14	3.19645e-15	3.92125e-15	1.19078e-14	2.25265e-14
