time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8	m=9	m=10	m=11	m=11	m=13	m=14	m=15	m=16
0	2.66342e-14	1.94312e-08	1.68094e-14	1.12077e-09	1.0849e-14	6.10075e-09	9.63213e-15	4.09882e-09	8.43452e-15	4.65761e-09	2.14438e-14	5.52714e-09	1.59382e-14	4.21777e-09	3.60772e-15	1.31752e-08	1.49733e-16
0.00717034	8.37678e-13	2.81727e-09	1.90896e-13	1.22044e-09	4.34441e-14	7.35994e-10	4.18263e-13	3.4169e-09	4.37313e-13	9.15569e-10	3.57e-14	1.44871e-09	8.29356e-14	5.59406e-10	7.12434e-13	3.36528e-09	2.20236e-12
0.0143407	1.51382e-12	1.9285e-08	1.95824e-13	2.55621e-09	7.41018e-13	4.00967e-09	3.29776e-13	1.25146e-09	3.26327e-13	1.21602e-09	1.7468e-13	3.12766e-10	2.77069e-13	7.38627e-10	9.30719e-13	2.36108e-09	3.26075e-12
0.021511	2.0792e-12	1.2222e-08	9.76149e-13	1.95485e-09	1.31897e-12	3.91889e-11	6.96858e-13	9.69791e-11	8.05515e-13	3.30415e-10	1.95459e-13	6.38576e-10	2.42342e-13	7.41839e-10	5.99428e-13	2.31528e-09	2.38358e-12
0.0286814	2.76873e-12	2.11568e-08	2.18594e-12	1.54207e-09	1.55477e-12	4.1441e-09	1.28235e-12	9.58809e-10	2.87339e-13	3.32695e-10	9.23233e-14	6.77986e-10	2.16166e-13	6.4577e-10	1.21185e-13	2.31093e-09	1.74077e-12
0.0358517	3.37829e-12	1.84565e-08	1.11838e-12	2.63271e-09	1.80958e-12	8.24608e-10	2.60017e-12	1.24721e-09	2.07437e-13	7.56211e-11	1.59684e-13	6.30775e-10	1.20571e-13	5.22986e-10	6.1227e-14	2.25375e-09	1.50641e-12
0.0430221	4.0823e-12	2.20714e-08	2.11614e-12	3.36079e-10	1.89197e-12	3.18336e-09	1.34539e-12	1.07808e-09	1.10742e-13	7.78984e-11	4.04256e-14	5.44807e-10	1.14293e-13	4.43176e-10	1.31943e-13	1.99906e-09	9.59932e-13
0.0501924	4.62285e-12	8.49809e-09	1.55652e-12	2.73912e-09	2.47812e-12	5.31464e-10	4.22752e-13	8.27317e-10	7.87339e-14	1.29521e-10	4.64939e-14	4.15971e-10	1.11962e-13	4.62856e-10	1.42184e-13	1.49113e-09	5.04061e-13
0.0573627	5.28336e-12	3.5821e-09	2.42378e-12	7.07396e-10	2.43461e-12	3.24761e-09	3.15356e-13	2.72739e-10	1.26863e-13	7.11443e-11	2.5822e-14	2.77597e-10	1.14669e-13	5.51016e-10	1.3206e-13	7.51302e-10	3.96257e-13
0.0645331	5.88751e-12	3.0705e-08	2.42599e-12	2.37556e-09	3.02831e-12	9.26499e-10	6.65986e-13	1.62529e-10	1.3562e-13	2.13383e-11	5.32955e-14	1.67442e-10	7.13335e-14	6.39616e-10	1.39457e-13	2.06431e-10	2.5153e-13
0.0717034	6.57893e-12	2.22738e-08	2.14969e-12	2.32935e-09	3.12432e-12	2.75952e-09	6.33077e-13	3.9646e-10	1.06962e-13	6.07213e-11	2.06644e-13	1.79318e-10	1.62054e-13	6.8791e-10	1.27434e-13	1.13285e-09	5.25886e-14
0.0788738	7.16684e-12	2.77674e-09	1.53955e-12	1.34875e-09	3.47799e-12	9.31247e-10	5.76399e-13	1.82048e-10	6.50445e-14	9.90039e-11	1.81233e-13	2.6052e-10	1.24989e-13	6.79811e-10	1.70269e-13	2.02024e-09	2.39601e-13
0.0860441	7.83331e-12	1.42695e-08	2.7917e-12	2.22888e-09	3.01327e-12	2.33594e-09	3.69389e-13	3.68852e-10	9.27841e-14	1.19441e-10	1.57476e-13	3.22413e-10	1.27768e-13	6.14608e-10	2.32934e-13	2.7229e-09	2.46159e-13
0.0932144	8.52164e-12	3.64324e-08	2.4504e-12	1.62533e-10	2.96826e-12	7.14886e-10	3.5832e-13	1.50682e-10	1.17919e-13	1.26758e-10	1.57226e-13	3.47089e-10	8.53008e-14	5.02665e-10	2.06029e-13	3.14871e-09	3.59936e-13
