time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.97636e-14	5.15787e-15	4.27106e-15	2.61575e-15	1.8337e-15	1.57401e-15	1.46352e-15	1.46413e-15	5.70716e-16
0.00909282	7.21474e-12	2.72718e-14	1.44342e-12	6.53569e-15	2.76216e-15	4.40727e-15	7.10939e-14	3.1058e-09	2.30252e-14
0.0181856	2.12098e-11	2.35211e-14	3.04658e-12	6.83633e-15	1.44997e-13	3.07806e-15	4.12899e-13	3.70791e-09	5.95124e-14
0.0272785	3.74053e-11	3.20905e-14	4.16365e-12	3.06457e-14	2.70245e-13	1.43935e-14	7.39227e-13	4.35197e-09	4.06427e-14
0.0363713	5.63566e-11	2.74655e-14	4.86373e-12	2.19171e-14	5.59041e-13	3.92859e-14	4.36789e-13	5.42621e-09	1.43217e-13
0.0454641	7.86099e-11	4.31982e-14	5.05952e-12	3.21017e-14	8.50129e-13	3.60414e-14	3.50867e-13	6.69334e-09	2.94422e-14
0.0545569	1.04326e-10	1.03432e-13	5.45188e-12	3.9778e-14	1.08134e-12	5.38699e-14	5.93279e-13	8.0544e-09	4.80046e-14
0.0636498	1.335e-10	3.56177e-14	5.82381e-12	5.05611e-14	7.32324e-13	7.06519e-14	7.98113e-13	9.46496e-09	1.27722e-13
0.0727426	1.6614e-10	7.36152e-14	6.39282e-12	6.77931e-14	7.97143e-13	1.34903e-13	1.12611e-12	1.08873e-08	2.45696e-13
0.0818354	2.02001e-10	1.39157e-13	7.10754e-12	9.2957e-14	4.81646e-13	1.25471e-13	7.2771e-13	1.22927e-08	1.7555e-13
0.0909282	2.40984e-10	1.91499e-13	7.00442e-12	1.41198e-13	8.05574e-13	4.87693e-14	3.74785e-13	1.36668e-08	1.88697e-13
0.100021	2.83001e-10	1.43968e-13	7.08033e-12	1.16427e-13	4.30851e-13	8.81914e-14	9.36163e-13	1.50115e-08	3.80462e-13
0.109114	3.27784e-10	1.8647e-13	7.10814e-12	1.22998e-13	1.20891e-13	1.59625e-13	1.05426e-12	1.63391e-08	1.10551e-13
0.118207	3.75303e-10	2.12137e-13	7.07572e-12	1.33141e-13	1.09792e-12	2.10166e-13	8.96342e-13	1.76635e-08	5.27022e-13
0.1273	4.25481e-10	1.84497e-13	6.80266e-12	1.9784e-13	1.89383e-12	9.0157e-14	5.63986e-13	1.89902e-08	3.79012e-13
0.136392	4.77924e-10	1.44964e-13	6.24106e-12	1.99862e-13	1.6463e-12	1.86399e-13	9.16677e-13	2.03093e-08	7.72824e-14
0.145485	5.3263e-10	2.37924e-13	5.28372e-12	1.03584e-13	1.23393e-12	1.46977e-13	1.08498e-12	2.15957e-08	7.09764e-13
0.154578	5.89623e-10	2.57205e-13	4.90919e-12	8.6432e-14	9.26404e-13	1.38672e-13	6.50417e-13	2.28151e-08	9.35895e-14
0.163671	6.4849e-10	1.90243e-13	6.18922e-12	1.23465e-13	1.92083e-12	2.62485e-13	5.31781e-13	2.3932e-08	2.39957e-13
0.172764	7.09477e-10	8.09118e-14	9.56302e-12	1.42005e-13	2.22328e-12	1.42211e-13	7.76711e-13	2.49186e-08	4.97984e-13
0.181856	7.72676e-10	1.61817e-13	1.39675e-11	1.26387e-13	1.83086e-12	2.57811e-14	5.34313e-13	2.57599e-08	3.94379e-13
0.190949	8.37474e-10	2.28655e-13	1.86189e-11	9.03915e-14	7.95507e-13	1.71574e-13	1.31367e-13	2.64536e-08	4.77246e-13
0.200042	9.03662e-10	3.11636e-13	2.24864e-11	1.02629e-13	5.00148e-13	1.91529e-13	3.27267e-13	2.70056e-08	2.09922e-13
