time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	1.31625e-14	1.18179e-15	4.45e-16	3.29e-15	5.3292e-15	2.52985e-15	1.38943e-15	2.17518e-15	9.2899e-16
0.00909065	3.70275e-05	7.66781e-05	0.000159082	0.000335957	0.00240483	0.00584662	0.00285011	0.000674325	5.26156e-06
0.0180918	0.000438793	0.000335022	5.86181e-05	0.000652062	0.0113279	0.14472	0.219841	0.0225397	8.63354e-06
0.0252545	0.00622604	0.00576217	0.003881	0.00187269	0.0366867	1.04005	4.15918	0.383254	0.000119209
0.0283632	0.0161218	0.0351181	0.0238802	0.0155134	0.0396241	2.95657	15.8594	1.32353	0.00050203
0.0298831	0.173338	0.115153	0.0825703	0.0824343	0.154466	4.6958	29.7736	2.33536	0.00649461
0.0308688	0.795505	0.247345	0.292047	0.0856026	0.550086	6.56072	43.4185	3.22971	0.00749327
0.031606	2.57943	0.940205	0.386033	0.446099	1.11361	6.97287	55.4228	4.04902	0.071105
0.03223	6.28385	1.73461	1.11395	0.253118	2.42409	7.42075	65.6636	4.3656	0.37427
0.0327755	12.4121	2.57917	1.55953	1.26458	4.30382	8.82157	73.8531	3.70479	0.465758
0.033247	20.4043	4.75804	1.11983	1.03161	6.60301	8.73872	80.0281	3.57011	1.6157
0.0337062	30.9269	7.42378	3.44959	1.10398	9.80223	6.20055	84.9996	4.7234	0.0987016
0.0341042	42.5999	9.3558	3.77881	3.39202	15.631	3.23494	88.1725	6.07746	4.22195
0.0344684	56.3887	14.8509	6.96941	5.95569	22.3875	1.5335	89.6975	3.27904	6.02933
0.0348709	76.0575	24.1822	22.7203	13.141	33.4566	8.74228	86.829	2.0043	1.50727
0.0352646	95.9823	28.6987	35.8919	16.2344	48.3828	13.7043	83.5061	0.990857	6.00722
0.0355998	113.074	32.3985	36.6933	16.3642	55.7113	18.7254	79.2766	1.20979	9.94295
0.0359343	133.174	38.1332	31.0748	13.9018	56.293	24.9215	67.7934	2.61666	8.16347
0.0363338	154.706	43.6094	38.2068	10.257	59.7944	31.7281	52.4092	3.15954	3.1151
0.0367919	170.563	43.6001	51.2945	7.32526	64.257	35.2724	40.3198	4.05233	1.2382
