time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.97636e-14	5.15787e-15	4.27106e-15	2.61575e-15	1.8337e-15	1.57401e-15	1.46352e-15	1.46413e-15	5.70716e-16
0.00909282	4.33857e-11	1.00728e-14	2.85246e-12	6.50991e-15	1.08736e-12	1.05428e-13	3.78655e-14	2.80968e-09	1.04456e-13
0.0181856	1.25245e-10	6.79398e-14	3.50587e-12	3.46641e-14	6.73369e-13	3.93702e-12	1.92785e-11	2.61201e-09	4.84626e-14
0.0272785	2.89669e-10	3.7578e-12	3.61451e-11	3.47879e-12	9.54514e-12	1.54038e-10	2.80198e-09	3.37101e-08	6.21878e-13
0.0363713	8.05399e-09	6.90522e-10	2.99036e-09	6.69351e-10	1.01236e-09	5.825e-09	4.20303e-07	2.8411e-06	1.48231e-10
0.045464	6.00256e-07	1.12267e-07	2.23628e-07	7.58651e-08	6.93415e-08	2.04309e-07	6.28873e-05	0.000212107	6.33363e-09
0.0545499	4.78399e-05	1.11374e-05	1.27378e-05	1.46328e-05	9.14317e-07	1.50785e-05	0.00933908	0.0160303	5.8984e-07
0.063117	0.00244818	0.000659918	0.000441588	0.000921887	0.00196225	0.00138668	0.790605	0.846871	2.34187e-05
0.0675028	0.00252635	0.0385691	0.00314248	0.00835738	0.0311936	0.0456695	5.24467	5.84774	0.00243409
0.0692757	0.0461334	0.221328	0.0200221	0.120813	0.232735	0.330964	11.8851	12.6987	0.000523785
0.0703695	0.275855	0.713466	0.0790234	0.370261	0.63488	0.63504	18.7841	19.8196	0.0289782
0.0711249	0.99001	1.86156	0.380229	0.401793	0.576209	0.875813	24.8503	26.0418	0.278009
0.0717419	2.71241	4.28609	1.34139	2.16596	2.23712	1.91529	29.7129	31.2239	0.798698
0.0722588	5.64946	8.15382	2.64341	2.51855	1.03799	2.81856	34.4239	35.5889	1.63265
0.0727553	10.8516	14.1865	5.30914	7.05591	3.27392	5.34565	36.535	39.3135	1.77408
0.0732546	19.7873	25.2113	10.4696	13.8451	8.23128	11.542	34.4778	41.2947	1.72572
0.0737233	29.5966	35.7032	16.6765	16.6402	12.8121	15.6537	33.6873	41.664	2.29954
0.0741974	39.7604	40.7897	19.227	13.5323	18.0954	15.731	31.7559	40.9529	2.70737
0.0746779	49.1518	43.359	15.5316	7.96178	21.336	13.4555	28.7949	42.6237	3.65134
0.0751044	57.4946	47.145	12.6264	5.8787	21.0992	13.1219	30.6599	49.5075	3.74508
0.075461	68.2907	52.5663	16.2964	6.24144	19.5194	14.0192	34.4078	56.4325	2.20567
0.075766	82.7674	60.2624	25.3996	9.98571	18.8622	15.3586	35.6079	61.313	1.05177
0.076061	102.388	71.5782	43.3536	20.5533	23.5291	19.3883	30.0561	62.3138	2.66963
0.0763723	123.286	82.6488	65.5161	34.4181	31.9061	30.4331	20.676	62.0764	5.78622
0.0766651	138.027	88.2516	80.242	44.1455	36.0994	40.4179	12.9598	61.9933	8.14146
0.0769377	148.374	90.6982	88.315	51.46	37.5659	47.4171	8.95083	61.8869	9.66563
0.0771909	156.796	91.4031	92.6528	57.392	39.0057	51.4931	9.25374	61.5756	11.0964
0.0774276	164.391	91.5109	94.9168	62.3951	41.031	53.5456	12.5641	60.8636	12.3774
0.0776495	171.481	91.864	95.8639	66.4682	43.355	54.464	17.0275	59.5019	13.2201
0.0778585	178.223	92.903	95.7171	69.7025	45.7781	54.7996	21.8633	57.0609	13.3995
0.0780575	184.578	94.7237	94.325	72.3912	48.0243	55.0307	26.4914	53.0893	12.8224
0.0782498	190.609	96.9214	92.1095	74.4507	50.0267	55.3002	30.2967	48.0557	11.6112
0.0784376	196.489	98.8085	90.1116	75.5223	51.8771	55.4569	32.5551	43.1194	9.95608
0.0786228	202.3	99.9678	89.1173	75.6261	53.5998	55.4547	33.143	39.0198	8.19212
0.0788068	207.929	100.372	89.1408	75.0594	55.1384	55.5077	32.5738	35.5442	6.65914
0.0789906	213.289	100.21	89.8813	74.0854	56.2568	55.6258	31.4116	32.3537	5.57273
0.0791753	218.361	99.6898	91.0579	72.804	56.7247	55.5734	29.9899	29.3425	4.96453
0.0793618	223.126	99.0068	92.4766	71.2643	56.4665	55.1306	28.4709	26.5266	4.74949
0.0795508	227.561	98.3022	94.0066	69.5172	55.5519	54.2205	26.9309	23.9139	4.8092
0.0797432	231.693	97.5787	95.4935	67.6498	54.1442	52.8275	25.3699	21.4915	5.05453
0.0799401	235.566	96.8117	96.8009	65.7272	52.4143	50.9666	23.7409	19.2379	5.43546
0.0801424	239.206	96.0091	97.8761	63.771	50.4426	48.6579	22.0294	17.1461	5.90219
0.0803512	242.655	95.1799	98.7034	61.7942	48.2574	45.8921	20.2176	15.2395	6.42672
