time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.97636e-14	5.15787e-15	4.27106e-15	2.61575e-15	1.8337e-15	1.57401e-15	1.46352e-15	1.46413e-15	5.70716e-16
0.00909282	5.46251e-11	6.43741e-15	2.41253e-12	4.85218e-14	6.62632e-14	6.68775e-14	2.46885e-13	2.92059e-09	1.66601e-13
0.0181856	1.76934e-10	1.12365e-13	2.9211e-12	8.22862e-14	4.51119e-13	3.55304e-12	1.84127e-11	3.50064e-09	1.07586e-13
0.0272785	4.0223e-10	4.06509e-12	3.80556e-11	3.34704e-12	3.6357e-12	1.35258e-10	2.70274e-09	4.10322e-08	6.16127e-13
0.0363713	8.64452e-09	4.81043e-10	3.10925e-09	6.90738e-10	1.0651e-09	5.10881e-09	4.04275e-07	2.98385e-06	1.47273e-10
0.045464	6.34023e-07	9.57298e-08	2.39862e-07	9.18896e-08	7.84064e-08	2.44725e-07	6.05943e-05	0.00022455	7.71103e-09
0.0545499	4.87478e-05	1.34678e-05	1.66839e-05	1.31909e-05	5.77674e-06	2.95517e-06	0.00900211	0.0169679	1.27762e-06
0.063117	0.00256635	0.000490041	0.000357869	0.000925134	0.00178125	0.00114406	0.759002	0.894664	5.41577e-05
0.0675288	0.00182699	0.0398202	0.00242543	0.0077499	0.0345152	0.00287747	5.08669	6.24944	0.00412047
0.0692258	0.0459429	0.216727	0.0276871	0.112773	0.245424	0.244939	11.1314	13.0928	0.0108349
0.0702609	0.247513	0.693538	0.140682	0.283381	0.519145	0.814087	17.2649	19.967	0.0011279
0.0710393	0.916267	1.83051	0.360859	0.28373	0.407359	1.37851	23.2194	26.7029	0.0447404
0.0717005	2.75964	4.38893	0.986747	2.35087	2.1976	2.82578	27.7957	32.5929	0.300572
0.0722565	6.15332	8.46426	1.89103	2.99822	0.83262	3.31539	31.8125	37.5349	0.952209
0.0727787	12.1766	15.1943	5.24019	8.10107	4.8582	6.50574	32.9528	41.4073	1.7848
0.0732951	21.864	25.6717	8.92553	15.1004	9.69895	11.3709	30.0253	43.9646	1.74411
0.0737752	32.038	35.0637	14.1647	17.699	11.9625	10.0798	26.0488	44.9195	1.2305
0.0742198	40.8255	41.7711	21.0399	16.5223	16.3422	8.20376	23.3549	46.7197	0.291575
0.0746724	50.2834	49.456	22.0085	11.257	18.2719	9.08001	20.348	45.8368	0.194441
0.0752121	62.0318	57.1413	20.1725	6.66254	10.7066	3.53024	19.3438	41.5411	0.731303
0.0757373	72.8847	61.4789	19.0601	12.752	3.12792	5.75888	24.0027	45.1023	0.395115
0.0761472	82.5951	67.5308	16.5055	14.649	4.43154	13.0256	29.2631	52.997	2.54671
0.0764759	92.4098	75.7001	13.2767	15.7608	6.76054	18.0746	33.2399	60.4117	5.20204
0.0767566	103.728	86.6603	8.32513	20.8911	10.755	19.7813	33.9779	64.58	6.57676
0.0770425	118.912	101.621	8.92311	33.6781	20.0463	18.9091	29.8889	63.1094	3.91724
0.0773682	135.927	111.538	15.6649	50.4022	29.695	21.6014	31.2773	63.7143	2.33848
0.0776303	148.751	113.702	21.853	63.4238	33.7318	27.4475	40.1353	69.4923	8.14909
0.0778419	157.197	114.721	26.6647	70.2531	37.7581	31.4797	46.2167	72.7792	11.5742
0.0780383	163.454	115.532	29.3899	73.0411	42.2742	32.7526	48.9583	73.1315	13.2524
0.0782315	169.176	116.183	31.4979	74.2798	46.9182	32.045	49.5889	71.7136	13.7996
0.0784262	175.66	117.024	34.5822	75.9796	52.3391	28.9588	48.2578	68.1902	12.9918
0.0786244	183.486	118.462	39.7955	79.3663	59.1471	23.0231	45.2472	61.916	10.5392
0.0788275	191.418	119.965	45.4913	83.2814	65.2913	16.6372	42.326	55.0044	7.56786
0.079036	198.327	120.861	49.4968	86.2739	69.231	12.1275	40.5394	49.3426	5.18872
0.0792492	204.143	121.257	51.4481	88.0964	71.7185	9.78487	39.7641	44.777	3.55771
0.0794661	209.373	121.5	52.0361	88.9389	73.4956	9.52249	39.2356	41.0783	2.39398
0.0796844	214.759	121.716	52.1032	88.9452	74.5349	11.8543	37.9339	38.2628	1.51914
0.0799021	220.542	121.695	51.954	88.3239	75.0683	16.3497	35.674	35.8136	1.20392
0.0801178	226.545	121.175	51.6092	87.1079	75.4519	21.496	32.9001	33.1432	1.7481
0.0803313	232.444	120.262	51.1226	85.2107	75.7813	26.3605	30.0028	30.1596	3.04031
0.0805435	237.921	119.24	50.6078	82.6154	75.9919	30.6431	27.1727	27.0392	4.71477
0.0807553	242.773	118.286	50.1631	79.4064	76.0282	34.3448	24.5166	23.9827	6.44616
0.080968	246.941	117.411	49.814	75.7356	75.8582	37.4997	22.102	21.1601	8.02945
0.0811827	250.525	116.594	49.5286	71.7745	75.5086	40.0102	19.91	18.6728	9.36954
0.0814004	253.688	115.704	49.2237	67.6707	75.0246	41.777	17.8841	16.4907	10.4336
0.0816225	256.528	114.601	48.7388	63.4911	74.5046	42.8773	16.0526	14.4838	11.1605
0.0818504	259.21	113.314	47.9178	59.201	74.0143	43.2855	14.2931	12.7092	11.6369
0.0820861	262.194	112.368	46.8429	54.7107	73.3897	42.6127	12.1406	11.5919	12.1782
0.0823326	266.023	112.397	45.7551	49.9797	72.572	40.5879	9.16006	11.4647	12.9964
0.0825941	270.887	113.526	44.6707	45.1287	71.9216	37.5382	6.32447	12.1154	13.945
0.082877	276.56	115.182	43.4656	40.4593	71.5857	33.7055	7.40956	13.0506	14.6395
0.0831906	282.493	116.037	42.4351	36.6215	70.6569	28.6122	11.7839	13.4131	14.5609
0.0835527	288.443	115.087	42.0236	33.8879	67.773	22.1962	16.8611	12.8871	13.7028
0.0839739	294.409	112.431	42.2751	32.5321	62.112	15.1139	22.1347	12.097	12.3047
0.0844087	299.764	109.38	42.3154	33.156	54.4225	8.17623	26.0797	11.3527	10.2544
0.0848645	304.584	106.771	41.4615	35.4729	44.923	4.39404	28.5478	10.8262	7.4999
0.0853537	309.176	104.294	38.6333	38.1992	33.6724	9.53179	28.8576	11.4282	3.74754
0.0858723	313.81	101.71	33.356	39.9903	21.3786	14.4188	26.9142	13.5695	0.366561
0.0864019	318.41	99.302	27.4483	41.6106	9.88857	17.4282	24.7787	16.2706	3.59776
0.086929	323.039	96.9421	22.0573	43.5444	4.28064	18.6313	23.5103	18.8103	5.80085
0.0874508	327.046	94.2433	16.8616	43.4651	7.19355	17.3039	21.7066	20.1119	6.83527
0.087994	330.829	90.8196	11.1301	40.9998	9.29758	13.9583	19.5909	20.4218	7.29627
0.088565	334.67	86.7532	5.31662	36.8974	9.93439	9.52293	17.9352	20.3128	7.59126
0.0891634	338.25	82.6294	4.04066	32.0253	9.9141	5.41441	17.2394	19.8439	7.69138
0.0897927	341.443	78.8731	8.295	26.9407	9.13756	2.89957	17.3182	18.9618	7.47262
0.0904437	344.458	75.4149	12.4529	21.5528	7.47576	4.30054	17.9497	18.2116	7.13524
0.0910809	347.301	72.2786	15.6526	16.0238	6.72288	8.41224	19.2463	18.2906	7.03956
0.0916677	349.794	69.682	17.501	10.8185	9.62633	13.3843	21.0905	19.1618	7.30234
0.0921762	351.81	67.7595	18.0614	6.46554	14.5874	18.1008	23.0514	20.2345	7.69983
0.092618	353.548	66.1575	18.0584	3.87517	19.2291	21.6156	24.3896	20.6466	7.84637
0.0930253	355.227	64.5318	17.9985	3.90311	22.9602	23.7636	24.7634	20.0537	7.57537
0.0934207	356.808	62.8502	17.7402	5.60694	26.2418	25.1013	24.4688	18.812	7.064
0.0938133	358.259	61.1053	17.1331	8.03739	29.3713	26.0529	23.8386	17.313	6.50055
0.0942073	359.613	59.2687	16.1724	10.8932	32.3506	26.7646	22.9982	15.7649	5.97753
0.0946066	360.924	57.3641	14.8724	14.0473	35.1143	27.1686	21.9066	14.2335	5.51085
0.0950162	362.23	55.3714	13.2533	17.3782	37.5066	27.1146	20.4621	12.6895	5.0783
0.0954426	363.617	53.2737	11.3642	20.7741	39.3138	26.3229	18.4706	11.0306	4.64801
0.0958919	365.082	51.047	9.2719	24.1648	40.3556	24.6411	15.8152	9.24072	4.23691
0.0963722	366.502	48.6689	7.01218	27.5323	40.4807	22.1053	12.6684	7.50962	3.85899
0.0968929	367.804	46.1511	4.62357	30.8893	39.5681	18.9118	9.18249	6.14954	3.4882
0.0974673	369.126	43.4333	2.56517	33.9128	37.1788	14.9653	5.26315	5.82854	3.20209
0.0981245	370.67	40.2673	2.01134	36.0567	32.7365	10.172	1.2174	6.80936	2.85076
0.0988576	372.513	36.5146	2.47804	36.4953	26.1897	5.71182	3.70621	7.83422	2.02593
0.0995986	374.23	32.7634	2.74039	35.0814	18.5758	4.78849	6.95717	8.3861	1.0191
0.100408	375.693	28.7336	3.14185	32.1408	11.3058	7.54438	9.33689	8.19048	0.177512
0.101201	377.116	24.2898	4.04648	28.4359	8.66927	9.10098	10.1095	7.14749	0.306828
0.101964	378.436	19.6742	5.38551	25.2383	10.2597	8.90622	10.0705	6.10602	0.194336
0.102746	379.52	15.0354	6.40927	23.1804	12.0677	7.60772	9.8346	5.40167	0.338028
0.103568	380.498	10.5434	6.79124	22.5491	12.8487	6.34483	9.9863	5.50162	1.1782
0.104446	381.588	6.47465	7.27671	23.2134	12.6917	6.55383	10.8803	6.62472	2.16514
0.105278	382.645	4.44589	8.23316	24.2237	12.3144	8.09185	12.0734	7.84775	2.95665
0.106101	383.582	4.82117	9.14111	24.8292	12.4884	10.0122	13.0532	8.45178	3.34721
0.106974	384.712	5.65151	9.66979	24.4795	13.9103	12.2127	13.514	8.32334	3.30485
0.107794	385.996	5.89735	10.1925	23.0053	17.0523	14.1907	13.2219	7.91583	3.06876
0.108547	387.168	5.98265	11.3045	20.9305	20.5282	15.054	12.2861	7.58235	2.78741
0.109264	388.101	6.15304	12.848	18.5315	23.1458	14.7039	11.084	7.24808	2.40101
0.109967	388.794	6.56374	14.526	16.0011	24.6974	13.547	9.97109	6.94699	1.9903
0.110675	389.199	7.21848	16.0218	13.5055	25.22	11.87	8.99379	6.64344	1.7135
0.111413	389.591	7.66593	16.8046	10.9224	24.9382	9.56975	7.71444	5.89367	1.3519
0.112222	390.007	7.8756	17.0248	8.86739	24.0226	6.86093	6.42524	4.7917	0.967722
0.11314	390.494	8.04615	17.2807	8.72143	22.7587	4.27709	6.25456	3.6266	0.718121
0.114148	391.197	8.03822	17.7949	11.1104	21.5063	2.35988	7.7697	2.67737	0.836723
0.115123	391.811	7.98986	18.0949	14.5637	20.534	1.97339	9.91648	2.46876	1.37865
0.116066	392.112	8.12258	17.9662	18.1277	19.7233	3.15796	11.858	2.62354	1.97205
