time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.97636e-14	5.15787e-15	4.27106e-15	2.61575e-15	1.8337e-15	1.57401e-15	1.46352e-15	1.46413e-15	5.70716e-16
0.00909282	3.02005e-11	3.57982e-14	2.04145e-12	1.54668e-14	4.47179e-13	2.31779e-14	4.85911e-14	3.19425e-09	6.26993e-14
0.0181856	9.70371e-11	3.45584e-14	3.67388e-12	1.26475e-13	2.13666e-13	3.48219e-13	7.13605e-13	2.89749e-09	2.17415e-13
0.0272785	1.87572e-10	3.89635e-14	3.81757e-12	3.30775e-13	6.01131e-12	1.00057e-11	1.38979e-11	5.86124e-09	5.22125e-13
0.0363713	3.87465e-10	5.19862e-13	3.15608e-11	1.42779e-12	7.8653e-11	2.9072e-10	5.40282e-10	6.60785e-08	7.27536e-14
0.0454641	2.65568e-09	2.23016e-11	5.88062e-10	1.05939e-11	7.07312e-10	8.37339e-09	2.00952e-08	1.01019e-06	3.99357e-11
0.0545569	4.01435e-08	7.99731e-10	9.99152e-09	6.57045e-10	1.31565e-08	2.41544e-07	7.46076e-07	1.70183e-05	6.35632e-10
0.0636497	6.67679e-07	2.94719e-08	1.60068e-07	2.8148e-08	7.99477e-08	6.97451e-06	2.7758e-05	0.000283785	6.22207e-09
0.0727407	1.11632e-05	1.21423e-06	2.63579e-06	9.57535e-07	2.31538e-06	0.000201218	0.00103294	0.00473171	2.65533e-08
0.0818002	0.000185133	4.16763e-05	4.15625e-05	3.26573e-05	7.44665e-06	0.00569011	0.0377421	0.0780007	2.72474e-06
0.0903132	0.00242698	0.000547123	0.000184775	0.0010367	0.00171734	0.119133	1.02461	1.06507	0.000105443
0.0956558	0.00422921	0.0406432	0.00727145	0.0258516	0.033681	0.805759	7.72676	5.45876	0.00240685
0.0981995	0.0322492	0.246418	0.0312527	0.14408	0.161856	2.02583	20.1219	11.5471	0.00313477
0.0997178	0.221116	0.757061	0.113594	0.493072	0.758504	3.67205	34.4328	17.3564	0.0328925
0.100774	0.906358	1.89758	0.322001	0.875114	1.30336	5.41923	48.3283	21.9554	0.182627
0.101605	2.67035	4.19988	0.215581	1.213	2.33196	8.39322	61.5165	25.5135	0.471652
0.102337	6.27405	7.73798	1.07912	2.64866	1.07402	11.5767	72.561	27.142	0.983934
0.103038	12.9088	13.4385	2.084	7.36371	4.78257	14.4459	80.337	27.2336	0.960412
0.103653	21.025	19.0046	2.16037	7.52698	10.8039	19.7444	87.1305	28.3697	0.342561
0.104206	30.2972	22.7572	1.25219	7.25837	14.129	23.2813	93.9181	29.9657	0.487826
