time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	8.77285e-17	4.91588e-15	1.60484e-15	3.9347e-15	3.7597e-15	1.16207e-15	1.77105e-15	1.30833e-15	1.9073e-15
0.00896293	4.31499e-12	6.78904e-08	5.42882e-13	1.34764e-15	4.23709e-14	9.73892e-15	1.33769e-14	3.08639e-15	6.2639e-15
0.0179259	2.84042e-11	1.8379e-07	3.80696e-12	1.14125e-14	3.50354e-13	1.3131e-14	1.23506e-13	8.48651e-15	1.70782e-14
0.0268888	7.03903e-11	2.01353e-07	7.93725e-12	6.63538e-15	9.06034e-13	4.97974e-15	2.97674e-13	2.14068e-15	8.027e-14
0.0358517	1.10711e-10	1.14616e-07	1.04317e-11	1.53337e-14	1.23572e-12	2.43462e-15	3.82805e-13	5.53649e-15	1.13272e-13
0.0448146	1.3525e-10	7.52389e-08	1.24652e-11	7.95894e-14	1.02842e-12	2.63321e-14	2.94328e-13	1.12741e-14	1.20145e-13
0.0537776	1.53742e-10	9.35722e-08	1.14479e-11	2.43159e-13	6.90161e-13	2.80678e-14	2.75009e-13	1.08486e-14	9.856e-14
0.0627405	1.73682e-10	1.63006e-07	1.34088e-11	9.6959e-13	8.66318e-13	2.28796e-13	2.39078e-13	1.56359e-13	1.87335e-14
0.0717034	2.02079e-10	1.74125e-07	1.49337e-11	1.62708e-12	1.16936e-12	2.47228e-13	1.1607e-13	1.9144e-13	4.61353e-14
0.0806663	2.352e-10	1.17964e-07	1.59716e-11	1.76524e-12	1.26416e-12	2.36253e-13	2.05647e-14	2.2079e-13	2.93741e-14
0.0896293	2.59589e-10	1.2679e-07	1.90035e-11	1.75473e-12	7.76885e-13	2.01025e-13	1.31044e-13	1.90292e-13	2.02004e-14
0.0985922	2.83839e-10	1.20857e-07	1.8587e-11	1.57414e-12	2.55337e-13	2.80994e-13	1.12966e-13	1.73277e-13	6.10052e-14
0.107555	3.08713e-10	1.23657e-07	2.39159e-11	1.79044e-12	2.27385e-13	3.9375e-13	1.27886e-13	1.67563e-13	3.45052e-14
0.116518	3.29961e-10	1.26308e-07	2.51273e-11	2.48559e-12	2.8405e-13	5.80092e-13	3.83775e-13	3.07856e-13	1.20722e-14
0.125481	3.54761e-10	1.09373e-07	2.37954e-11	2.90694e-12	4.9642e-13	6.39749e-13	4.48137e-13	2.74011e-13	5.71002e-14
0.134444	3.79625e-10	1.55608e-07	2.55209e-11	2.84674e-12	7.30673e-13	6.22152e-13	4.58215e-13	2.63572e-13	1.11257e-13
0.143407	4.06056e-10	1.47577e-07	2.43025e-11	2.61206e-12	9.63268e-13	5.51606e-13	5.29919e-13	2.58035e-13	9.94446e-14
0.15237	4.3164e-10	9.25782e-08	2.94994e-11	2.45263e-12	1.01517e-12	5.37051e-13	6.03476e-13	2.85195e-13	5.91684e-14
0.161333	4.53105e-10	6.81903e-08	3.09127e-11	2.53613e-12	1.32096e-12	6.16577e-13	6.00456e-13	3.50077e-13	1.71491e-14
0.170296	4.74766e-10	9.06699e-08	2.70664e-11	2.51718e-12	1.57888e-12	6.84702e-13	6.38822e-13	3.95474e-13	4.22963e-14
0.179259	4.99564e-10	1.56669e-07	2.74042e-11	2.30446e-12	1.44647e-12	6.56315e-13	6.85885e-13	3.99399e-13	7.07645e-14
0.188221	5.26398e-10	1.54614e-07	2.49995e-11	1.97603e-12	1.20856e-12	5.58417e-13	6.42534e-13	3.81226e-13	6.92444e-14
0.197184	5.50327e-10	8.71143e-08	2.86704e-11	1.62189e-12	8.65789e-13	4.34899e-13	5.43053e-13	3.21792e-13	6.10526e-14
0.206147	5.70247e-10	4.61315e-08	2.97783e-11	1.28108e-12	7.37534e-13	3.55933e-13	4.40905e-13	2.87457e-13	2.35713e-14
0.21511	5.90545e-10	8.34429e-08	2.54074e-11	9.63583e-13	7.05492e-13	3.0529e-13	3.58349e-13	2.70865e-13	3.47182e-14
0.224073	6.15362e-10	1.39739e-07	2.67602e-11	6.21324e-13	7.46604e-13	2.28292e-13	3.05541e-13	2.65481e-13	7.48485e-14
0.233036	6.41651e-10	1.40285e-07	2.48958e-11	1.96819e-13	8.88636e-13	1.86095e-13	3.27065e-13	3.12561e-13	9.33666e-14
0.241999	6.64219e-10	9.24999e-08	2.75355e-11	1.94885e-13	1.16285e-12	1.87679e-13	4.16508e-13	3.31374e-13	6.5591e-14
0.250962	6.82769e-10	7.88807e-08	2.94789e-11	4.78919e-13	1.486e-12	1.84177e-13	4.39308e-13	3.36739e-13	6.43203e-14
0.259925	7.02273e-10	9.56139e-08	2.75093e-11	7.21353e-13	1.69846e-12	1.83782e-13	3.86503e-13	3.28121e-13	7.77672e-14
0.268888	7.25805e-10	1.18022e-07	3.28712e-11	9.87758e-13	1.9005e-12	1.78849e-13	3.57713e-13	3.10336e-13	7.10918e-14
0.277851	7.50465e-10	1.14497e-07	3.40634e-11	1.30442e-12	2.26411e-12	2.07325e-13	3.92569e-13	2.62924e-13	3.00037e-14
0.286814	7.72399e-10	9.68215e-08	3.61402e-11	1.61876e-12	2.55993e-12	1.99472e-13	3.97284e-13	2.53563e-13	3.05324e-14
0.295777	7.92999e-10	1.09355e-07	4.06269e-11	1.92188e-12	2.56089e-12	2.17177e-13	3.48939e-13	2.2431e-13	1.26684e-13
0.30474	8.14699e-10	1.11817e-07	4.14445e-11	2.09485e-12	2.29713e-12	2.28732e-13	3.96216e-13	2.13525e-13	1.49328e-13
