time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.56198e-15	2.45889e-16	1.68241e-16	3.49824e-16	7.18483e-17	2.95998e-16	2.02846e-16	1.70358e-16	1.36099e-17
0.00909276	8.09321e-06	6.89058e-06	2.24485e-05	1.84104e-05	1.11871e-05	8.13174e-05	9.04396e-06	4.20208e-06	6.36735e-07
0.0181854	5.15838e-06	2.07742e-05	2.419e-05	3.82396e-05	0.00021546	5.54558e-05	1.10455e-05	3.07074e-06	2.95427e-07
0.0272778	7.82899e-06	2.53212e-05	3.57049e-05	0.000176593	0.000263704	8.29692e-05	4.34205e-05	1.9264e-06	6.49149e-07
0.03637	9.1725e-07	1.56491e-05	4.30688e-05	0.000215543	0.00023414	0.000123299	1.64289e-05	6.05465e-06	1.86777e-06
0.0454621	1.86111e-06	1.5845e-05	3.01388e-05	6.16398e-05	0.000402762	8.28495e-05	8.25831e-06	3.11783e-06	1.14721e-06
0.0545542	4.0704e-06	5.91e-06	1.1525e-05	0.000354971	0.00018935	9.67379e-05	8.39637e-06	8.00145e-06	1.09502e-07
0.0636462	5.927e-06	2.37777e-05	4.57022e-05	0.000449909	0.000348068	6.27121e-05	4.05818e-05	8.53556e-06	1.06505e-06
0.0727382	6.54196e-06	3.78244e-05	8.32828e-05	0.00022678	0.000313684	0.000136557	2.63517e-05	1.19034e-05	2.43858e-07
0.08183	2.1592e-06	3.08591e-05	9.72701e-05	0.000431642	0.000216619	0.000123031	1.68423e-05	9.16647e-06	8.56737e-07
0.0909218	1.45065e-06	7.78493e-06	0.000108363	0.000829405	0.000292568	8.27472e-05	3.24425e-05	6.64105e-06	6.89077e-07
0.100013	4.61801e-06	1.40719e-05	0.000129817	0.000624388	0.000118533	0.000126125	3.90458e-05	6.2539e-06	1.44584e-07
0.109105	1.03973e-05	6.86911e-06	0.000136386	0.000328983	0.000115706	0.000118953	5.02666e-05	1.19592e-05	2.42018e-07
0.118197	3.73326e-06	1.36448e-05	0.000102263	0.00104296	0.000165152	0.00010292	3.5831e-05	7.86079e-06	1.00587e-06
0.127288	5.82589e-06	3.73033e-05	5.69254e-05	0.00112008	6.0544e-05	0.000109428	4.87828e-05	9.64206e-06	2.78113e-07
0.136379	5.04622e-06	2.91557e-05	4.98649e-05	0.000532833	8.74319e-05	9.66696e-05	6.19055e-05	6.75297e-06	6.31036e-07
0.145471	1.07238e-05	4.27811e-05	0.000123907	0.000936359	6.94201e-05	0.000109325	7.2727e-05	2.21288e-06	2.875e-07
0.154562	8.07371e-06	2.30883e-05	0.000178004	0.00139622	3.97209e-05	0.000102816	6.87987e-05	1.15222e-05	2.92826e-07
0.163653	1.09131e-05	5.25794e-05	0.000226846	0.00104803	4.22272e-05	7.92675e-05	8.45387e-05	1.32845e-05	1.69428e-07
0.172743	1.35519e-06	6.69893e-06	0.000238197	0.000769621	1.28235e-05	9.37288e-05	8.56107e-05	6.43307e-06	1.175e-06
0.181832	2.35537e-06	4.9914e-05	0.000230878	0.00142724	2.21765e-05	7.18736e-05	9.19618e-05	1.15239e-05	9.73929e-07
0.190918	4.98466e-06	3.64783e-05	0.000151144	0.00140748	3.58716e-05	7.22051e-05	0.000110718	1.50668e-05	6.24066e-08
0.2	2.7398e-07	3.59028e-05	0.000105846	0.000937073	6.1252e-05	7.03884e-05	0.000129073	1.34426e-05	2.64503e-08
0.209075	3.66815e-07	5.48478e-05	3.96923e-05	0.00111651	3.3886e-05	5.19934e-05	0.000133277	1.03816e-05	6.90224e-07
0.218135	5.20174e-06	3.91593e-05	0.000195798	0.00181896	0.000108766	5.86993e-05	0.000132264	1.0948e-05	4.15792e-07
0.227171	3.36907e-06	5.72729e-05	0.000130848	0.000816873	0.000356448	9.15264e-05	0.000190641	8.30163e-06	4.562e-08
0.236159	1.86064e-05	3.01567e-05	0.000554191	0.00122114	0.000500581	0.000105732	0.000124651	1.32822e-05	8.45383e-06
0.245064	0.00014232	7.5082e-05	0.000144249	0.000644931	0.000221311	9.42669e-05	0.000255706	1.83606e-05	1.85891e-05
0.253835	0.000519216	0.000298496	0.000540975	0.00410579	0.00102889	0.000270181	3.84862e-05	0.000125179	3.31678e-05
0.262415	0.0016223	0.000855095	0.000312851	0.00378738	0.00306465	0.000441138	0.000800066	0.000448529	0.000147353
0.27066	0.00474817	0.00213988	0.0011285	0.00573166	0.00460316	0.000817833	0.00137157	0.000882276	0.000324305
0.278438	0.0134822	0.00617719	0.00162124	0.00238479	0.00323188	0.00172799	0.00353768	0.00094261	0.000330236
0.285425	0.0361444	0.0199531	0.00310772	0.0100665	0.00186315	0.00163163	0.00494964	0.00583935	0.00115736
0.291567	0.0698552	0.0420305	0.0140686	0.0128653	0.0194457	0.018811	0.0349608	0.0170256	0.0124115
0.295656	0.0877213	0.043543	0.0438384	0.0718606	0.0583611	0.0575639	0.0186119	0.0708495	0.0133933
0.297326	0.0728641	0.0223818	0.0543912	0.0756202	0.0497539	0.0455287	0.0575533	0.12283	0.00212837
0.298407	0.107199	0.0386423	0.0250459	0.115613	0.0788784	0.0344301	0.0418495	0.0910636	0.0338085
0.29889	0.0685273	0.0410753	0.0566281	0.0787901	0.0345671	0.022561	0.0903273	0.161108	0.000417905
0.2989	0.0679517	0.0419527	0.057222	0.0785443	0.0341398	0.0226451	0.0913579	0.16221	7.06676e-05
0.298917	0.0666623	0.0439115	0.058847	0.077822	0.0331961	0.023304	0.0935664	0.164624	0.000836944
0.298944	0.0612597	0.0524062	0.0678318	0.0739941	0.0304195	0.0299356	0.10233	0.17446	0.00558534
0.298988	0.0748394	0.0348125	0.0393795	0.0899031	0.0443649	0.014694	0.0834401	0.150686	0.0092058
0.299058	0.0706238	0.040511	0.0420763	0.088173	0.0412775	0.0132741	0.0906288	0.158129	0.00736095
0.299171	0.0647372	0.0502612	0.0393686	0.0888786	0.0412665	0.0167406	0.101868	0.167283	0.0077846
0.299353	0.0648998	0.0726775	0.0856449	0.165314	0.0955639	0.00718322	0.097735	0.161344	0.0307945
0.299458	0.11477	0.404273	0.342493	0.443619	0.38962	0.362442	0.442945	0.431906	0.167404
0.299468	0.0273645	0.121337	0.0666597	0.158301	0.105742	0.0803727	0.167918	0.205432	0.0246551
0.299484	0.646065	1.76419	1.71618	2.19114	2.10542	2.12664	2.44439	2.42764	1.0963
0.299498	8842.48	18634.1	18725.8	17563.9	18468.6	19242.8	17977.3	18204.8	9612.38
0.299498	3519.73	7113.1	7085.15	7100.63	7044.87	7091.27	7104.17	7089.38	3533.49
0.299498	746.137	1517.68	1547.15	1590.92	1606.83	1586.56	1557.16	1506.91	753.261
0.299498	57540.4	115337	115110	115342	115084	115342	115085	115337	57522.5
0.299498	295.509	601.771	651.779	621.63	644.491	633.55	642.624	596.541	298.805
0.299498	284.4	1513.76	2298.52	2303.79	2062.35	2274.68	2277.19	1519.62	313.764
0.299498	717557	1.88433e+06	1.8446e+06	565332	1.64791e+06	3.0998e+06	3.64885e+06	2.8719e+06	798052
0.299498	173516	718508	1.19472e+06	1.22617e+06	779881	290636	472516	932519	566247
0.299498	480.764	885.457	881.35	1114.25	1318.12	1350.11	1370.58	1511.1	799.203
0.299498	74.1207	145.27	142.35	143.111	137.531	123.015	111.915	109.23	54.6844
0.299498	25290	51367.1	53472	56361.1	59567	62683.2	65238.2	66841.7	33685.9
0.299498	691.451	1402.81	1400.27	1315.24	1197.02	1107.08	1041.95	994.088	488.128
0.299498	1265.9	2566.32	2678.21	2872.35	3113.38	3337.25	3494.94	3577.02	1800.47
0.299498	131.112	259.61	253.474	247.478	243.36	238.796	232.009	225.714	111.638
0.299498	8780.9	17437.9	16977	16053.4	14742.4	13354	12211.5	11476.3	5609.66
0.299498	0.821427	1.83912	2.17391	2.18644	1.88043	1.81709	2.05262	2.10282	1.01903
0.299498	4.86817	88.2079	164.953	223.984	280.704	343.187	389.5	400.468	198.565
0.299498	38.1324	74.9912	71.4752	69.8745	73.3766	76.8728	75.3002	71.7993	35.166
0.299498	56.2896	112.063	108.275	103.455	103.225	103.236	98.2745	93.9707	46.5725
