time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	5.05164e-16	5.10392e-16	3.49091e-17	1.46656e-16	2.05172e-16	1.26581e-16	2.37603e-16	1.79296e-16	1.27165e-16
0.00909282	1.74643e-13	4.56817e-09	4.42913e-15	2.37884e-16	4.2453e-16	1.97164e-16	3.48541e-16	3.17593e-16	1.07514e-16
0.0181856	1.30651e-12	1.63273e-08	3.67135e-15	1.85031e-16	1.42583e-15	1.28093e-16	4.84512e-16	1.92506e-16	3.29251e-16
0.0272785	3.95361e-12	3.0621e-08	3.87423e-14	3.66922e-16	1.12474e-14	2.39322e-16	2.88897e-15	5.05737e-16	7.47836e-16
0.0363713	8.13574e-12	4.27108e-08	1.92509e-13	4.69851e-16	2.91965e-14	3.26195e-16	7.49185e-15	2.49994e-16	1.48744e-15
0.0454641	1.34571e-11	5.00483e-08	5.4374e-13	2.33451e-16	5.2849e-14	1.12121e-16	1.35607e-14	4.9528e-16	2.94726e-15
0.0545569	1.93738e-11	5.29306e-08	1.01547e-12	6.61534e-16	7.40731e-14	4.99043e-16	1.7153e-14	6.67638e-16	4.26772e-15
0.0636498	2.54373e-11	5.35714e-08	1.49351e-12	1.44912e-15	9.13561e-14	1.04169e-15	1.7673e-14	5.5162e-16	4.88393e-15
0.0727426	3.14646e-11	5.44295e-08	1.8967e-12	2.90866e-15	1.04192e-13	1.47067e-15	9.00142e-15	1.17178e-15	4.35602e-15
0.0818354	3.76505e-11	5.67918e-08	2.27059e-12	5.93614e-15	1.08437e-13	2.31377e-15	7.28482e-15	1.06509e-15	2.26434e-15
0.0909282	4.40408e-11	6.04965e-08	2.72947e-12	1.252e-14	7.59325e-14	2.79946e-15	2.38779e-14	6.00932e-16	6.92217e-16
0.100021	5.08513e-11	6.4721e-08	3.29257e-12	1.90364e-14	3.72487e-14	1.54979e-14	4.3409e-14	1.27232e-15	5.64977e-16
0.109114	5.80104e-11	6.87947e-08	3.91352e-12	1.84905e-14	8.13936e-14	3.96741e-14	6.31851e-14	3.55852e-16	4.68937e-15
0.118207	6.55058e-11	7.24714e-08	4.67684e-12	4.83918e-14	1.68901e-13	5.76081e-14	5.03155e-14	7.10233e-15	1.20304e-14
0.1273	7.33874e-11	7.57896e-08	5.48139e-12	1.44791e-13	2.63947e-13	4.7395e-14	3.04753e-14	1.26541e-14	1.84975e-14
0.136392	8.15766e-11	7.87853e-08	6.56051e-12	2.6905e-13	4.2317e-13	2.42169e-13	3.77724e-14	1.25453e-14	2.04555e-14
0.145485	9.01636e-11	8.12429e-08	7.92425e-12	3.34686e-13	8.18197e-13	5.27474e-13	1.11262e-13	3.63152e-14	1.49775e-14
0.154578	9.93185e-11	8.2542e-08	9.73629e-12	6.92395e-13	1.23865e-12	4.24154e-13	2.84859e-13	6.84453e-14	1.25617e-14
0.163671	1.09143e-10	8.15266e-08	1.22521e-11	2.12025e-12	1.38495e-12	1.11094e-12	6.11293e-13	8.35952e-14	9.03849e-15
0.172764	1.2e-10	7.62813e-08	1.55145e-11	4.28474e-12	4.42328e-13	4.07468e-12	7.31237e-13	1.70106e-13	5.89386e-14
0.181856	1.32234e-10	6.3719e-08	1.95549e-11	6.31839e-12	3.57788e-12	5.4248e-12	1.9698e-13	1.5682e-13	1.14127e-13
0.190949	1.46455e-10	3.88928e-08	2.4576e-11	1.16417e-11	9.85966e-12	3.35249e-12	2.68444e-12	3.39062e-13	1.01991e-13
0.200042	1.63478e-10	6.67572e-09	3.28199e-11	3.10925e-11	1.06946e-11	2.78586e-11	5.42353e-12	6.72859e-13	8.70047e-14
0.209135	1.86759e-10	8.4183e-08	5.47501e-11	6.50439e-11	1.76077e-11	5.30846e-11	4.60728e-12	8.81929e-13	5.13191e-13
0.218228	2.21694e-10	2.14551e-07	1.0712e-10	1.03967e-10	9.96073e-11	1.93252e-11	1.4152e-11	8.29714e-13	1.01753e-12
0.227321	2.74325e-10	4.27839e-07	2.10389e-10	1.90145e-10	2.0382e-10	1.69356e-10	3.80227e-11	2.3052e-12	1.08248e-12
0.236413	3.53754e-10	7.70599e-07	4.122e-10	4.78273e-10	1.39486e-10	4.53734e-10	4.90821e-11	5.04842e-12	4.23817e-14
0.245506	4.73717e-10	1.31358e-06	8.40307e-10	1.01062e-09	5.73733e-10	4.15274e-10	8.00705e-11	6.91983e-12	2.72106e-12
0.254599	6.55487e-10	2.16354e-06	1.73696e-09	1.67666e-09	2.02206e-09	8.29989e-10	2.55426e-10	8.8334e-12	5.76417e-12
0.263692	9.2787e-10	3.48066e-06	3.46042e-09	3.03357e-09	3.06062e-09	3.4307e-09	4.3731e-10	1.77436e-11	5.50348e-12
0.272785	1.33789e-09	5.50403e-06	6.56727e-09	7.40559e-09	2.13171e-09	4.88685e-09	4.89079e-10	3.21348e-11	2.98881e-12
0.281877	1.94891e-09	8.58907e-06	1.22857e-08	1.58905e-08	1.49269e-08	2.64607e-09	1.40371e-09	4.90407e-11	2.10089e-11
0.29097	2.85174e-09	1.3262e-05	2.3659e-08	2.7143e-08	3.58791e-08	2.30895e-08	3.13316e-09	8.99787e-11	3.90654e-11
0.300063	4.17944e-09	2.02991e-05	4.66936e-08	4.81894e-08	3.72601e-08	4.58558e-08	3.99954e-09	1.69476e-10	3.20257e-11
0.309155	6.08277e-09	3.08422e-05	9.05724e-08	1.14365e-07	7.73824e-08	2.24709e-08	7.03363e-09	2.63985e-10	3.39804e-11
0.318248	8.73795e-09	4.65656e-05	1.68748e-07	2.49952e-07	3.08086e-07	1.35275e-07	1.91273e-08	3.89525e-10	1.67e-10
0.32734	1.22828e-08	6.99184e-05	3.07389e-07	4.39856e-07	5.38153e-07	3.74744e-07	3.08108e-08	6.95568e-10	2.93526e-10
0.336432	1.6549e-08	0.000104474	5.70569e-07	7.66636e-07	4.23976e-07	3.64085e-07	3.93708e-08	1.25573e-09	2.45518e-10
0.345524	2.06679e-08	0.000155433	1.09464e-06	1.75597e-06	2.02775e-06	6.41226e-07	1.06519e-07	2.06196e-09	1.94163e-10
0.354615	2.19694e-08	0.000230353	2.10096e-06	3.90161e-06	5.40295e-06	2.74726e-06	2.13864e-07	3.16944e-09	1.105e-09
0.363705	1.35707e-08	0.000340183	3.90607e-06	7.0822e-06	6.73117e-06	3.99714e-06	2.74118e-07	4.69309e-09	2.06296e-09
0.372793	1.89477e-08	0.000500761	7.06064e-06	1.22239e-05	9.83522e-06	1.92467e-06	5.7019e-07	9.54558e-09	2.46181e-09
0.38188	1.01038e-07	0.000734934	1.28619e-05	2.68808e-05	4.22353e-05	1.80725e-05	1.36606e-06	2.09927e-08	2.50775e-09
0.390963	2.65611e-07	0.00107557	2.4261e-05	6.02846e-05	8.16775e-05	3.64168e-05	2.00161e-06	3.40327e-08	4.7816e-09
0.40004	5.16083e-07	0.00156974	4.64905e-05	0.00011272	7.19834e-05	1.82001e-05	3.18968e-06	9.36018e-08	3.05009e-08
0.409109	7.81998e-07	0.00228443	8.74468e-05	0.000195371	0.000252447	0.000101406	8.6142e-06	4.0495e-07	1.02359e-07
0.418165	1.5214e-06	0.00331379	0.000160305	0.000412746	0.000740714	0.000287993	1.35178e-05	1.57187e-06	5.73009e-07
0.4272	6.88761e-06	0.00478759	0.000296195	0.000929923	0.00104346	0.000299148	1.8555e-05	7.29631e-06	9.885e-07
0.436203	3.35335e-05	0.00687284	0.000578026	0.00180678	0.00107058	0.000392389	6.88095e-05	1.84744e-05	2.70252e-06
0.445154	0.000137222	0.00975833	0.00116589	0.00320672	0.00491261	0.00182063	0.000169564	1.75949e-05	4.06573e-06
0.454024	0.000505221	0.0136571	0.00227656	0.00649398	0.0106036	0.00277625	0.000192278	0.000164861	6.61484e-05
0.462746	0.00172171	0.0186155	0.00433499	0.0144776	0.0107297	0.00177438	0.000434303	0.000481074	0.000240683
0.471232	0.0055244	0.0235291	0.00850386	0.0293445	0.0183923	0.0110227	0.00200605	0.00180351	0.0008145
0.479274	0.0171038	0.0253308	0.0157543	0.0515953	0.0622148	0.0228044	0.00449631	0.00524517	0.00263804
0.486665	0.0538357	0.019657	0.0228232	0.0876358	0.106086	0.017377	0.00805497	0.0147409	0.00691526
0.493115	0.150193	0.0348342	0.0198851	0.143959	0.114418	0.0275378	0.0339645	0.0382266	0.0171489
0.499006	0.26933	0.0947414	0.0571825	0.256538	0.0645786	0.0984065	0.0634485	0.0860464	0.0485156
