time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	5.05164e-16	5.10392e-16	3.49091e-17	1.46656e-16	2.05172e-16	1.26581e-16	2.37603e-16	1.79296e-16	1.27165e-16
0.00909282	1.74913e-13	4.56791e-09	5.1158e-15	4.40603e-16	1.95461e-16	1.2262e-16	3.46318e-16	3.23887e-16	2.74553e-18
0.0181856	1.30642e-12	1.63195e-08	3.27104e-15	2.5131e-16	2.06889e-15	5.34638e-17	6.79028e-16	3.22232e-16	1.4053e-16
0.0272785	3.96309e-12	3.05672e-08	4.00826e-14	4.42671e-16	1.05773e-14	9.47753e-17	1.88038e-15	3.36062e-16	7.42838e-16
0.0363713	8.15665e-12	4.25055e-08	1.91326e-13	4.29664e-16	2.41374e-14	1.66775e-16	5.33157e-15	9.52983e-17	1.70169e-15
0.0454641	1.34746e-11	4.94866e-08	5.31169e-13	4.32787e-16	3.83153e-14	2.81087e-16	6.50887e-15	2.58138e-16	1.80426e-15
0.0545569	1.93553e-11	5.16824e-08	9.68983e-13	1.73538e-16	4.81604e-14	1.04241e-15	7.51276e-15	4.28847e-16	2.14041e-15
0.0636498	2.53313e-11	5.1187e-08	1.37764e-12	4.37233e-16	6.281e-14	4.4637e-16	1.03774e-14	4.76226e-16	5.09784e-16
0.0727426	3.1214e-11	5.04297e-08	1.67563e-12	8.7438e-16	9.98295e-14	1.0065e-15	2.24301e-14	2.43104e-16	2.53707e-15
0.0818354	3.71684e-11	5.08293e-08	1.93458e-12	1.00765e-15	1.48425e-13	2.06254e-15	3.67463e-14	4.95595e-16	5.68873e-15
0.0909282	4.32797e-11	5.24712e-08	2.33117e-12	2.68634e-15	1.90241e-13	3.06416e-15	3.40725e-14	1.05199e-15	5.78434e-15
0.100021	4.96717e-11	5.4874e-08	2.89921e-12	8.11036e-15	2.40163e-13	3.88288e-15	3.84213e-14	1.32622e-15	6.19424e-15
0.109114	5.63947e-11	5.79198e-08	3.62161e-12	1.65522e-14	2.72583e-13	2.98511e-15	2.21907e-14	2.53599e-15	9.30413e-15
0.118207	6.33961e-11	6.21769e-08	4.4546e-12	2.88861e-14	3.07229e-13	4.86596e-15	1.76342e-14	6.107e-15	1.32529e-14
0.1273	7.06999e-11	6.85307e-08	5.34803e-12	4.00442e-14	3.61802e-13	1.23226e-14	2.6834e-14	9.44933e-15	1.6837e-14
0.136392	7.83362e-11	7.74819e-08	6.26046e-12	5.30943e-14	4.40302e-13	3.80272e-14	6.57575e-14	1.76468e-14	1.98338e-14
0.145485	8.63977e-11	8.8706e-08	7.16367e-12	8.81397e-14	4.90049e-13	1.00517e-13	8.02446e-14	2.75761e-14	2.60254e-14
0.154578	9.4997e-11	1.01112e-07	7.8399e-12	1.59461e-13	3.91197e-13	1.59112e-13	1.28337e-13	3.53655e-14	3.3377e-14
0.163671	1.04243e-10	1.13089e-07	8.15126e-12	2.48466e-13	2.28858e-13	1.39301e-13	1.7253e-13	4.80716e-14	3.89278e-14
0.172764	1.14337e-10	1.22675e-07	8.05975e-12	4.82002e-13	8.29525e-13	1.91359e-13	2.67779e-13	6.21384e-14	3.96104e-14
0.181856	1.25406e-10	1.27624e-07	8.33903e-12	1.23642e-12	1.51209e-12	4.83311e-13	2.87453e-13	1.80389e-13	1.89152e-14
0.190949	1.38039e-10	1.25443e-07	1.10375e-11	2.45756e-12	3.08717e-12	3.30513e-13	6.16921e-13	1.33034e-14	3.64193e-14
0.200042	1.53598e-10	1.13459e-07	1.69159e-11	3.86524e-12	7.0724e-12	1.06427e-12	9.56685e-13	2.44907e-13	6.83979e-14
0.209135	1.7316e-10	8.90004e-08	2.51609e-11	6.06649e-12	1.00117e-11	3.19727e-12	1.13857e-12	1.82817e-13	1.06755e-13
0.218228	1.97974e-10	5.00883e-08	3.46098e-11	1.43795e-11	2.89846e-12	3.52236e-12	5.64564e-13	1.47477e-13	1.39286e-13
0.227321	2.30509e-10	1.94554e-08	4.53694e-11	3.14046e-11	3.94119e-11	8.02469e-12	1.25177e-12	5.79897e-14	1.55094e-13
0.236413	2.76444e-10	8.8877e-08	6.13922e-11	5.24005e-11	1.00685e-10	2.44622e-11	2.10219e-12	7.77417e-13	1.636e-13
0.245506	3.44287e-10	1.84564e-07	9.4221e-11	8.61269e-11	1.13768e-10	2.96129e-11	1.36617e-12	6.4228e-13	1.93419e-13
0.254599	4.43842e-10	2.99398e-07	1.61722e-10	2.04981e-10	7.87881e-11	4.20295e-11	1.32128e-11	1.07307e-12	2.55258e-13
0.263692	5.8978e-10	4.3049e-07	2.91124e-10	4.53113e-10	6.02918e-10	1.78426e-10	2.54068e-11	2.71878e-12	2.80596e-13
0.272785	8.03928e-10	5.73853e-07	5.35315e-10	7.64317e-10	1.21392e-09	2.7123e-10	1.69773e-11	4.46002e-12	1.36883e-14
0.281877	1.11582e-09	7.25057e-07	9.77106e-10	1.22527e-09	8.67758e-10	1.53301e-10	5.79188e-11	3.48707e-12	1.20026e-12
0.29097	1.56891e-09	8.81375e-07	1.71736e-09	2.92056e-09	2.53888e-09	1.24486e-09	1.74068e-10	6.40054e-12	4.02877e-12
0.300063	2.22722e-09	1.04622e-06	2.88541e-09	6.67209e-09	9.23059e-09	2.5042e-09	2.13846e-10	2.06881e-11	9.03449e-12
0.309156	3.1778e-09	1.23658e-06	4.78215e-09	1.15254e-08	1.48746e-08	1.0849e-09	9.59072e-11	2.52106e-11	1.60201e-11
0.318248	4.54977e-09	1.49204e-06	8.25023e-09	1.79692e-08	1.27159e-08	7.68892e-09	8.56735e-10	8.14823e-12	2.42607e-11
0.327341	6.51286e-09	1.87829e-06	1.49791e-08	4.20978e-08	5.11043e-08	2.12179e-08	1.55646e-09	8.17733e-11	3.33117e-11
0.336433	9.27477e-09	2.47783e-06	2.71564e-08	9.94982e-08	1.33176e-07	1.9349e-08	5.45691e-10	1.77836e-10	4.40975e-11
0.345525	1.30738e-08	3.37556e-06	4.70205e-08	1.77067e-07	2.01521e-07	3.84461e-08	3.97631e-09	1.58363e-10	5.91354e-11
0.354616	1.79987e-08	4.65576e-06	7.82214e-08	2.69757e-07	2.90481e-07	1.63319e-07	1.05223e-08	2.0209e-10	8.39335e-11
0.363707	2.35143e-08	6.41207e-06	1.32583e-07	6.0984e-07	8.59789e-07	2.2952e-07	9.75729e-09	8.8616e-10	9.7765e-11
0.372797	2.71897e-08	8.76301e-06	2.40174e-07	1.48998e-06	1.98246e-06	1.0474e-07	1.36996e-08	1.60042e-09	1.05027e-10
0.381886	2.08438e-08	1.18708e-05	4.46087e-07	2.74548e-06	3.28518e-06	1.13161e-06	6.25265e-08	1.54931e-09	7.45928e-11
0.390973	2.02582e-08	1.59662e-05	7.93358e-07	4.12506e-06	5.38725e-06	2.21951e-06	9.10227e-08	3.58945e-10	4.41568e-11
