time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	5.05164e-16	5.10392e-16	3.49091e-17	1.46656e-16	2.05172e-16	1.26581e-16	2.37603e-16	1.79296e-16	1.27165e-16
0.00909282	1.67687e-13	4.56841e-09	3.81176e-15	2.38506e-16	3.69228e-16	3.67556e-16	2.73476e-16	2.20461e-16	1.39549e-16
0.0181856	1.25881e-12	1.63029e-08	3.17154e-15	1.73427e-16	1.16894e-15	2.02468e-16	1.27418e-16	4.42321e-16	4.56609e-16
0.0272785	3.81382e-12	3.03781e-08	3.64075e-14	5.69457e-16	7.05328e-15	2.56066e-16	5.47551e-16	1.69436e-16	2.46734e-16
0.0363713	7.82518e-12	4.1658e-08	1.72365e-13	6.76849e-16	1.79369e-14	1.63272e-16	3.02214e-15	6.30377e-16	5.7051e-16
0.0454641	1.28488e-11	4.70139e-08	4.74187e-13	6.65746e-16	2.74808e-14	3.12032e-16	3.99625e-15	3.22801e-16	7.29465e-16
0.0545569	1.8265e-11	4.60826e-08	8.42993e-13	6.77075e-16	3.22831e-14	2.80783e-16	3.80888e-15	1.70429e-16	9.07654e-16
0.0636498	2.35484e-11	4.04757e-08	1.13026e-12	1.41893e-15	2.7359e-14	1.04405e-16	5.11436e-15	5.33324e-16	1.20126e-15
0.0727426	2.83841e-11	3.23981e-08	1.18028e-12	1.68249e-15	1.78474e-14	6.66851e-16	5.15252e-15	4.90148e-16	2.23617e-15
0.0818354	3.26865e-11	2.36136e-08	9.45886e-13	2.02327e-14	3.6689e-14	1.40958e-14	1.7056e-14	8.24249e-15	1.64103e-14
0.0909282	3.64676e-11	1.51214e-08	5.08007e-13	8.6935e-15	4.76768e-14	8.31999e-15	1.09227e-14	6.72372e-15	1.73182e-14
0.100021	3.99592e-11	7.69517e-09	2.75394e-13	1.15584e-14	6.54385e-14	7.38538e-15	1.75215e-14	3.47057e-15	1.71143e-14
0.109114	4.32993e-11	6.04979e-09	8.9324e-13	1.03284e-14	1.01848e-13	1.04036e-14	1.52443e-14	5.58503e-15	1.70737e-14
0.118207	4.66745e-11	1.28304e-08	1.59816e-12	1.55963e-14	1.12242e-13	3.80982e-15	1.31079e-14	1.04795e-14	1.73264e-14
0.1273	5.01683e-11	2.153e-08	2.23056e-12	3.43555e-14	1.34536e-13	1.25753e-14	2.64323e-14	1.36681e-14	1.79957e-14
