time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	3.1515e-14	5.67087e-15	2.78845e-16	4.1534e-15	2.75791e-15	5.37424e-15	2.11979e-15	1.10237e-15	1.51388e-15
0.00909282	3.90334e-11	6.85491e-08	8.82415e-13	4.86666e-15	1.81585e-14	1.82857e-14	6.02943e-15	3.41655e-15	1.39401e-14
0.0181856	2.494e-10	1.83649e-07	1.47615e-12	9.17164e-15	4.00474e-13	9.18369e-15	1.42386e-13	1.28414e-14	5.74507e-16
0.0272785	5.84414e-10	1.97084e-07	1.04128e-11	1.66539e-14	1.85905e-12	6.2595e-15	5.05924e-13	9.64907e-15	8.57962e-14
0.0363713	8.52223e-10	1.05704e-07	2.53939e-11	3.99875e-15	2.91848e-12	4.59659e-15	7.5071e-13	6.80622e-15	1.81082e-13
0.0454641	9.8329e-10	5.73223e-08	4.34194e-11	1.58502e-14	2.12479e-12	1.02509e-14	5.15682e-13	9.25464e-15	1.7516e-13
0.0545569	1.09971e-09	9.24467e-08	3.0332e-11	2.80464e-14	1.33257e-12	5.64179e-15	2.23253e-13	1.83283e-14	1.54095e-13
0.0636498	1.31757e-09	1.73196e-07	2.68583e-11	1.17848e-13	1.25943e-12	1.33088e-14	8.80375e-14	7.43845e-15	1.09403e-13
0.0727426	1.61844e-09	1.74158e-07	2.64524e-11	2.49906e-13	1.8527e-12	5.81006e-14	2.63056e-13	2.37899e-14	7.07874e-14
0.0818354	1.8554e-09	1.03216e-07	2.48244e-11	3.00632e-13	2.14661e-12	6.13666e-14	4.22873e-13	2.45779e-14	3.92089e-14
0.0909282	2.01462e-09	9.06554e-08	3.87274e-11	3.23941e-13	1.92129e-12	5.49913e-14	3.9638e-13	3.62302e-14	2.7042e-14
0.100021	2.17268e-09	1.00135e-07	2.37295e-11	3.5074e-13	1.8261e-12	3.33159e-14	3.41214e-13	3.51769e-14	2.779e-15
0.109114	2.37453e-09	1.46765e-07	4.68044e-11	3.93838e-13	1.84742e-12	4.44881e-15	2.81608e-13	2.80719e-14	3.55241e-15
0.118207	2.61975e-09	1.43504e-07	4.50965e-11	5.38537e-13	2.87825e-12	1.73258e-14	4.71194e-13	3.35009e-14	4.70195e-14
0.1273	2.82244e-09	1.03276e-07	2.53403e-11	6.71186e-13	3.0724e-12	3.01032e-14	7.32203e-13	4.45457e-14	7.89588e-14
0.136392	3.0031e-09	1.16106e-07	2.9006e-11	6.69788e-13	3.28431e-12	3.75772e-14	5.70499e-13	3.39976e-14	6.68846e-14
0.145485	3.19e-09	1.06329e-07	2.54853e-11	6.19521e-13	3.05726e-12	5.38224e-14	6.13509e-13	3.77539e-14	2.60441e-14
0.154578	3.36905e-09	1.12322e-07	6.0142e-11	5.9125e-13	2.47662e-12	5.71148e-14	5.8772e-13	3.73227e-14	3.80769e-14
0.163671	3.55456e-09	1.05955e-07	6.26068e-11	6.71139e-13	3.73959e-12	9.4715e-14	5.24125e-13	5.38003e-14	1.51406e-14
0.172764	3.72058e-09	1.00231e-07	2.93616e-11	8.00032e-13	3.66703e-12	1.18397e-13	5.88263e-13	6.78789e-14	3.47386e-14
0.181856	3.91149e-09	1.28275e-07	2.68965e-11	7.55005e-13	3.60222e-12	1.09395e-13	5.50172e-13	6.83827e-14	6.01736e-14
0.190949	4.11118e-09	1.08335e-07	3.13388e-11	6.82232e-13	3.15904e-12	7.95733e-14	5.81176e-13	5.53172e-14	2.11746e-14
0.200042	4.26605e-09	7.98976e-08	7.02947e-11	6.23074e-13	2.26656e-12	8.72374e-14	6.48557e-13	6.92462e-14	2.39826e-15
