time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	3.1515e-14	5.67087e-15	2.78845e-16	4.1534e-15	2.75791e-15	5.37424e-15	2.11979e-15	1.10237e-15	1.51388e-15
0.00909282	4.20648e-11	6.80414e-08	9.47513e-13	4.18568e-15	1.89702e-14	7.28092e-13	3.5353e-12	2.71686e-13	9.37122e-15
0.0181856	2.651e-10	1.77888e-07	1.68358e-12	7.01805e-16	7.03458e-13	8.98871e-11	1.83796e-09	5.00511e-11	6.44177e-15
0.0272785	2.1971e-09	1.81344e-07	1.30797e-11	1.64351e-11	1.22894e-09	1.11032e-08	9.65816e-07	9.07373e-09	6.4632e-11
0.0363713	9.30578e-07	8.74176e-08	5.94775e-10	4.459e-09	6.9201e-07	1.35363e-06	0.000507517	1.63305e-06	1.01306e-07
0.0454405	0.000465294	8.11943e-07	1.37817e-06	5.14997e-07	0.000406207	0.000161203	0.258392	0.000288376	7.2659e-05
0.0521648	0.00949324	8.2602e-05	0.00627022	2.04366e-05	0.0308847	0.00193594	10.9446	0.0095339	0.000116728
0.0542779	0.0961016	0.000806985	0.0394153	0.000122706	0.18209	0.00544368	35.4323	0.0287885	0.00674286
0.0552992	0.69225	0.00335712	0.185809	0.000463558	0.728468	0.010042	60.8903	0.0469477	0.0219302
0.0559756	2.85633	0.0108196	0.651729	0.00662531	2.0019	0.0170544	83.8739	0.0582438	0.102091
0.056492	8.19105	0.0262803	1.58199	0.00836271	5.23103	0.0316634	101.969	0.0696855	0.569178
0.0569296	17.9945	0.0507971	2.75623	0.0333276	10.5946	0.043684	114.773	0.066387	2.11847
0.0573234	33.4033	0.0830743	5.4199	0.0595421	19.988	0.0498822	123.805	0.0476156	2.2431
0.0576772	54.6391	0.106122	10.3544	0.0906385	32.9387	0.0856238	127.496	0.0627248	5.40808
0.0579819	78.747	0.134679	7.73412	0.0740675	51.7272	0.0970784	131.421	0.0873315	12.8979
0.0582781	116.589	0.259086	48.0241	0.109156	78.5478	0.157696	123.113	0.10466	7.64145
0.0585961	165.617	0.424747	104.82	0.238311	128.229	0.277575	110.031	0.120912	5.05861
0.0588722	208.545	0.427589	129.97	0.347299	162.156	0.366734	101.806	0.0589224	11.9864
0.0591437	259.988	0.388065	126.761	0.305437	175.437	0.416677	84.2488	0.146766	8.80614
0.0594508	315.299	0.453252	128.259	0.108427	195.347	0.41763	77.4455	0.0898234	4.35574
0.059742	347.213	0.405609	140.138	0.0308269	211.543	0.345807	82.0143	0.0401824	2.72032
0.0600172	360.738	0.362898	145.948	0.00825992	212.135	0.23397	87.4719	0.112808	1.5087
0.0602871	369.623	0.448578	143.386	0.0620447	202.938	0.156964	93.4138	0.230528	9.5193
0.0605406	380.952	0.610453	133.703	0.154632	190.913	0.196927	99.9092	0.312757	19.9412
0.0607808	397.897	0.764272	127.078	0.18509	174.847	0.180364	101.11	0.197756	25.6949
0.061033	421.527	0.887897	129.242	0.204995	152.975	0.127113	92.1882	0.0668247	23.904
0.0613285	450.243	0.931669	136.119	0.234127	130.05	0.0780765	78.2189	0.0441764	19.4275
0.0616884	479.684	0.891111	141.826	0.239692	109.093	0.0668503	64.0067	0.0782591	17.2706
0.0621124	504.534	0.81475	142.586	0.251223	90.2329	0.101913	48.3186	0.0639378	18.3852
0.0625984	523.752	0.710085	135.551	0.246504	75.7173	0.120094	27.6033	0.0460597	21.1009
0.0631197	538.661	0.588607	117.672	0.254424	76.2454	0.123376	3.33926	0.171262	26.9631
0.0636114	560.345	0.617595	82.8018	0.477949	107.078	0.34471	38.2922	0.405184	38.5302
0.0639404	578.273	0.586623	56.3421	0.383419	130.305	0.196248	59.3343	0.240974	45.4172
0.0642194	587.881	0.58494	46.7626	0.351893	135.125	0.115947	63.5811	0.152378	45.1976
0.0644933	596.159	0.590644	40.2194	0.37128	135.577	0.117294	65.2217	0.131349	44.3115
0.0647723	602.421	0.613907	37.6054	0.405906	131.006	0.140593	62.6176	0.126415	41.7223
0.0650755	608.641	0.60281	35.5114	0.44137	123.388	0.179375	54.4681	0.151585	36.1866
0.0654156	617.264	0.570441	29.6304	0.42943	118.15	0.166419	42.9151	0.131255	27.2681
0.0657805	624.418	0.546849	24.9671	0.406702	115.268	0.135685	36.3509	0.126651	19.5183
0.0661673	628.712	0.530985	21.9865	0.389874	111.749	0.139812	34.6615	0.164517	14.7079
0.066572	631.416	0.52495	19.3051	0.384571	106.629	0.154119	34.7198	0.19554	11.8818
0.0669917	634.627	0.519002	18.0066	0.378524	98.7516	0.162782	34.322	0.209317	10.611
0.0674265	639.694	0.493171	20.5292	0.333282	87.8801	0.186547	32.5979	0.197441	10.7371
0.0678773	645.42	0.449732	26.4761	0.259104	76.1584	0.213686	30.9269	0.178257	11.2759
0.068345	650.377	0.404285	33.4387	0.184102	65.0968	0.225574	30.1764	0.159887	11.6121
0.0688307	654.177	0.368671	40.4813	0.120785	55.009	0.218732	29.8649	0.137066	11.5532
0.0693375	656.908	0.350654	47.5106	0.0748594	45.9547	0.204106	29.2167	0.117148	11.1215
0.0698705	658.853	0.350048	54.3651	0.0769841	38.0288	0.1957	27.9303	0.104585	10.4484
0.0704366	660.339	0.36279	60.888	0.114243	31.091	0.189648	25.9183	0.0962848	9.6445
0.0710457	661.668	0.381445	66.8194	0.145014	25.0003	0.177093	23.106	0.0860196	8.67808
0.0717051	663.02	0.400719	71.7894	0.153937	20.1705	0.154723	19.4055	0.0692106	7.51784
0.0724141	664.475	0.411389	75.2898	0.130744	17.7619	0.120362	15.0714	0.0504813	6.31372
0.073184	666.187	0.40478	76.4963	0.0690794	17.9034	0.0834941	11.174	0.0307178	5.3311
0.0740147	668.339	0.385845	74.4781	0.018852	18.5932	0.0521158	9.50102	0.00825401	4.61053
0.0748931	670.912	0.369376	69.1305	0.100013	17.8482	0.0319318	10.3669	0.0180918	4.11099
0.0758012	673.582	0.358737	61.5196	0.163438	15.414	0.0280391	12.1079	0.0425606	3.6867
0.0767259	676.036	0.35307	52.9481	0.208552	12.362	0.0409804	13.4697	0.065603	3.17721
0.0776629	678.148	0.345737	44.2974	0.240405	10.3174	0.0593255	13.9148	0.0833916	2.51553
0.0786119	679.959	0.332167	36.2859	0.262638	10.1212	0.0826722	13.2253	0.0889358	1.64274
0.079579	681.538	0.312377	29.8131	0.276004	10.2556	0.116173	11.4627	0.0796577	0.484838
0.0805592	682.856	0.2835	25.8188	0.282224	8.64222	0.155828	9.19857	0.0618757	0.830138
0.081513	683.731	0.240846	24.2403	0.281776	5.29433	0.188761	7.14048	0.0491972	1.98803
0.0824413	684.074	0.192419	23.8722	0.27252	5.4814	0.195824	5.32968	0.0452115	2.84373
0.0833476	684.038	0.152661	23.8935	0.264819	11.7731	0.168523	3.63734	0.0330826	3.40425
0.0842339	684.004	0.130742	23.9605	0.260277	19.0623	0.110147	2.1846	0.0284493	3.72054
0.0851025	684.317	0.118484	23.7196	0.268542	25.7233	0.102029	1.08004	0.0516254	3.80525
0.0859563	684.856	0.101437	22.8254	0.275858	31.149	0.156243	0.476937	0.0778997	3.95076
0.086798	685.282	0.0801737	21.0458	0.264729	35.0796	0.189016	0.672473	0.0839523	4.57125
0.0876317	685.652	0.0694039	18.5715	0.23387	37.4728	0.180721	0.525804	0.0642282	5.58222
0.0884615	686.386	0.0702193	15.9981	0.200054	38.5632	0.160302	1.01094	0.040871	6.44951
0.089289	687.407	0.0705397	13.8228	0.170805	39.0741	0.141987	3.24751	0.0289246	7.12181
0.0901095	688.298	0.0718585	12.3211	0.155975	39.8287	0.113313	5.664	0.0433745	7.7924
