time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	3.1515e-14	5.67087e-15	2.78845e-16	4.1534e-15	2.75791e-15	5.37424e-15	2.11979e-15	1.10237e-15	1.51388e-15
0.00909282	4.20738e-11	6.80357e-08	9.34408e-13	8.24793e-15	2.95775e-14	4.41265e-13	9.55851e-13	4.42356e-13	1.31699e-14
0.0181856	2.65251e-10	1.77728e-07	1.66703e-12	2.08575e-14	1.99659e-13	5.57435e-11	5.1644e-10	7.61872e-11	2.09282e-14
0.0272785	9.50381e-10	1.8026e-07	1.14492e-11	2.86008e-11	3.60096e-10	6.86172e-09	2.71408e-07	1.36961e-08	5.48287e-11
0.0363713	2.66147e-07	9.19577e-08	2.25868e-10	5.5106e-09	2.16778e-07	8.38988e-07	0.000142625	2.46939e-06	2.73353e-08
0.0454575	0.000140766	8.25484e-07	7.59389e-08	1.17506e-06	9.89954e-05	0.000103188	0.0742851	0.000442724	4.08959e-06
0.0531659	0.0105146	0.000138627	0.00491518	9.88653e-05	0.0111566	0.00218003	7.33886	0.0268899	0.000419418
0.0558326	0.0540468	0.00273118	0.0262591	0.00129418	0.142332	0.00701696	30.1044	0.107323	0.000560789
0.0569713	0.480733	0.0124348	0.136318	0.00588181	0.579862	0.0165366	55.5643	0.186778	0.0426864
0.0576957	2.15848	0.0414048	0.503075	0.0196877	1.61317	0.0338532	79.176	0.241671	0.195396
0.0582409	6.66904	0.106597	1.34914	0.0417917	4.25501	0.0911264	98.5534	0.279771	0.83649
0.0586992	15.7092	0.215715	2.65819	0.100854	9.19603	0.171758	112.624	0.324027	0.540244
0.0590861	29.1423	0.356887	3.69216	0.225908	17.8221	0.189826	121.98	0.270844	3.80409
0.0594581	49.9581	0.546248	11.2156	0.470533	29.354	0.297444	127.583	0.124663	0.714718
0.059781	75.1432	0.676301	15.1374	0.645451	48.9624	0.466919	128.569	0.177806	10.1343
0.0600621	103.845	0.713431	15.2557	0.596314	69.0883	0.517957	128.535	0.329623	16.0174
0.0603493	148.433	1.06094	73.514	0.357778	104.393	0.812745	113.288	0.395606	8.31372
0.0606728	197.406	1.44456	138.56	0.140846	156.236	1.29679	98.0646	0.328685	2.49023
0.0609715	234.514	1.41792	161.458	0.390321	179.382	1.81496	82.1507	0.877432	8.47839
0.0612889	276.703	2.67318	151.605	1.81402	173.069	2.7626	53.293	1.49803	4.42482
0.0616276	315.122	5.93597	133.494	4.97435	164.762	4.94258	39.2151	2.37922	0.545958
0.0619751	345.502	8.99278	120.689	7.96565	163.224	7.29931	47.3486	3.64978	0.152796
0.0623183	372.764	8.46188	109.371	7.26016	159.028	7.24424	61.413	3.87787	5.49088
0.0626412	394.489	6.67784	94.7153	3.67476	150.096	5.95885	76.1806	4.14017	14.9759
0.0629367	410.21	6.50852	82.2039	1.16266	140.857	5.17131	87.1982	4.08922	22.9675
0.0632087	421.911	6.95991	73.1723	2.83827	134.828	5.02415	93.4239	3.40092	27.7773
0.0634654	432.426	9.26016	70.2828	3.57131	129.709	3.75147	95.1454	1.24883	29.4275
0.0637272	445.238	13.011	77.1132	3.7538	119.671	3.27945	90.2845	2.8691	27.329
0.0640064	460.299	14.8153	89.8025	3.40089	104.994	3.66351	80.2843	3.72328	23.0242
0.0643203	475.95	15.2363	101.719	1.12463	91.0673	2.17385	69.294	3.06383	19.1469
0.0646774	490.942	15.5308	109.426	1.83036	81.2948	0.198677	59.3434	2.50293	16.9072
0.0650672	503.726	15.5062	113.017	3.67204	74.9406	1.4412	50.4528	2.17326	16.2504
0.0654745	513.373	15.2025	114.459	4.9245	70.8316	2.4276	42.4462	2.03869	16.2466
0.0658954	520.274	14.8672	116.041	5.95047	69.0112	2.94371	35.0414	2.03923	15.7736
