time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	3.1515e-14	5.67087e-15	2.78845e-16	4.1534e-15	2.75791e-15	5.37424e-15	2.11979e-15	1.10237e-15	1.51388e-15
0.00909282	4.07011e-11	6.85148e-08	8.62599e-13	1.95521e-14	2.30882e-14	1.78926e-13	1.52254e-13	4.14081e-14	6.66641e-15
0.0181856	2.59244e-10	1.82786e-07	1.45677e-12	2.99736e-14	4.94363e-13	9.66942e-12	1.13519e-11	1.03877e-12	2.11737e-14
0.0272785	6.01394e-10	1.9209e-07	9.90673e-12	1.61538e-13	9.10525e-12	5.35444e-10	8.61985e-10	2.98001e-11	1.15366e-14
0.0363713	9.00721e-10	8.71858e-08	2.48632e-11	1.47122e-12	1.44203e-10	2.96876e-08	6.51528e-08	8.60677e-10	2.89376e-13
0.0454641	9.14592e-09	1.74706e-08	1.74891e-10	3.95196e-10	3.97225e-09	1.64365e-06	4.9235e-06	2.45561e-08	4.28499e-10
0.0545569	6.275e-07	1.01517e-07	2.16996e-09	2.88401e-08	2.61113e-07	9.09392e-05	0.000372071	6.68535e-07	1.85222e-08
0.0636463	4.60371e-05	5.24273e-06	4.82387e-08	1.43472e-06	2.07147e-05	0.00502223	0.0280412	2.02329e-05	3.25582e-06
0.0725063	0.00279914	0.000187742	0.000207153	0.000102061	0.00115962	0.230638	1.77644	0.000459995	2.33593e-06
0.0781591	0.00295215	0.0224748	0.00975216	0.00114691	0.0487709	2.07631	20.6205	0.00568983	0.000655046
0.0803132	0.147608	0.154256	0.0835691	0.00411388	0.320621	5.01435	54.2281	0.0560332	0.0137783
0.0814747	0.935919	0.470343	0.313637	0.0489991	0.974332	8.03963	88.6437	0.246547	0.0987744
0.0822835	3.85547	1.74199	1.0491	0.0794391	2.67673	9.46754	119.732	0.926715	0.483168
0.0829472	11.4284	3.55375	2.52922	0.37022	6.88028	8.60504	144.771	2.48007	0.255433
0.0834938	24.5656	5.08223	4.09499	0.605558	13.517	10.2422	160.872	3.91458	2.8473
0.083995	44.9718	9.40219	8.71461	1.06066	24.7257	13.4963	170.905	5.69932	1.97536
