time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	5.00066e-14	9.83121e-15	1.32914e-15	4.13165e-15	4.15839e-15	1.7854e-16	1.12695e-15	2.12185e-15	2.32259e-15
0.00909282	3.98792e-11	6.81291e-08	9.39487e-13	2.04911e-15	1.27199e-14	6.95303e-15	6.74705e-15	4.11371e-15	1.90271e-15
0.0181856	2.54822e-10	1.8271e-07	1.1186e-12	3.2883e-15	3.77358e-13	1.7009e-15	1.21577e-13	2.59188e-15	1.71427e-14
0.0272785	5.9668e-10	1.96548e-07	9.72489e-12	1.05304e-14	1.80557e-12	4.95504e-15	4.9103e-13	4.07278e-15	9.47165e-14
0.0363713	8.69299e-10	1.05078e-07	2.46537e-11	3.13327e-15	2.86632e-12	1.22198e-14	7.5657e-13	6.19888e-15	1.75271e-13
0.0454641	9.97992e-10	5.20836e-08	4.26491e-11	1.21095e-14	2.10542e-12	3.64393e-15	5.35072e-13	1.47265e-15	1.6154e-13
0.0545569	1.11012e-09	9.07699e-08	2.97123e-11	1.24818e-14	1.24028e-12	4.13542e-16	2.12487e-13	3.42873e-15	1.60536e-13
0.0636498	1.33381e-09	1.73722e-07	2.22538e-11	3.01095e-14	1.27149e-12	1.4148e-14	1.05577e-13	3.89456e-15	1.15073e-13
0.0727426	1.64449e-09	1.75222e-07	2.2249e-11	8.30914e-14	1.63037e-12	2.24107e-14	2.47664e-13	2.30081e-15	9.31783e-14
0.0818354	1.8872e-09	1.0017e-07	2.4067e-11	1.02504e-13	1.88708e-12	4.1575e-14	3.61049e-13	5.95855e-15	7.53585e-14
0.0909282	2.03658e-09	7.80626e-08	3.78709e-11	1.04478e-13	1.73018e-12	3.78192e-14	3.52485e-13	7.31119e-15	4.41663e-14
0.100021	2.18222e-09	9.56355e-08	2.15496e-11	1.33616e-13	1.83596e-12	4.55844e-14	2.9654e-13	3.30992e-15	5.83163e-16
0.109114	2.38993e-09	1.51439e-07	3.88608e-11	1.46104e-13	2.05499e-12	3.84004e-14	2.37836e-13	6.15441e-15	5.17688e-15
0.118207	2.65016e-09	1.48624e-07	3.7498e-11	2.10252e-13	2.72083e-12	2.4231e-14	4.74842e-13	1.14316e-14	4.33094e-14
0.1273	2.85956e-09	9.82301e-08	2.24175e-11	2.75126e-13	2.78464e-12	1.33875e-14	7.15575e-13	1.30517e-14	1.08953e-13
0.136392	3.02606e-09	9.92604e-08	2.82453e-11	2.8309e-13	3.19713e-12	3.29164e-14	5.81325e-13	8.86907e-15	1.12702e-13
0.145485	3.19529e-09	9.8201e-08	2.13425e-11	2.73246e-13	3.36594e-12	3.40013e-14	5.33635e-13	2.45816e-15	7.9266e-14
0.154578	3.38075e-09	1.21512e-07	5.06402e-11	2.71032e-13	2.98239e-12	3.12002e-14	4.43671e-13	5.56463e-15	7.15668e-14
0.163671	3.58897e-09	1.16309e-07	5.23526e-11	3.24649e-13	3.79019e-12	1.91657e-14	4.61335e-13	5.75105e-15	5.49878e-14
0.172764	3.76388e-09	9.47533e-08	2.38328e-11	3.77612e-13	3.13143e-12	3.52228e-14	5.81845e-13	1.06951e-14	4.28784e-14
0.181856	3.93937e-09	1.1108e-07	2.09896e-11	3.70918e-13	3.36709e-12	3.16716e-14	4.85055e-13	1.01672e-14	4.47452e-14
0.190949	4.11941e-09	9.78759e-08	2.55821e-11	3.44229e-13	3.43562e-12	4.54077e-14	4.92797e-13	1.80552e-14	1.79039e-14
0.200042	4.27866e-09	9.07857e-08	6.154e-11	3.22369e-13	2.93288e-12	4.66108e-14	4.71942e-13	1.71856e-14	4.5145e-15
0.209135	4.43091e-09	8.37845e-08	7.08325e-11	3.53477e-13	3.42177e-12	6.06321e-14	4.29638e-13	2.2861e-14	1.04115e-14
0.218228	4.57461e-09	8.95606e-08	5.81494e-11	3.98865e-13	3.15685e-12	6.9292e-14	5.46768e-13	2.47281e-14	2.01176e-14
0.227321	4.75138e-09	1.13804e-07	6.5262e-11	3.76847e-13	3.25195e-12	7.68947e-14	4.68735e-13	2.10173e-14	3.53781e-14
0.236413	4.93177e-09	9.3792e-08	5.26145e-11	3.239e-13	3.15472e-12	7.47201e-14	5.66397e-13	2.79036e-14	8.06344e-15
0.245506	5.06567e-09	6.47699e-08	8.09218e-11	3.08818e-13	2.76478e-12	6.70721e-14	6.15485e-13	2.9532e-14	1.97855e-14
0.254599	5.17141e-09	5.75037e-08	8.7135e-11	3.12243e-13	3.35657e-12	8.05163e-14	4.31453e-13	2.99654e-14	2.71359e-14
0.263692	5.29085e-09	8.42781e-08	8.50465e-11	3.02848e-13	3.37783e-12	8.45536e-14	3.06598e-13	3.83653e-14	2.63782e-14
0.272785	5.46193e-09	1.10201e-07	8.75669e-11	2.76058e-13	3.10019e-12	8.39976e-14	3.81808e-13	2.55062e-14	5.29366e-14
0.281878	5.63521e-09	8.70812e-08	7.55597e-11	2.2056e-13	2.78478e-12	6.99345e-14	4.58853e-13	3.34651e-14	6.30372e-14
0.29097	5.74939e-09	4.79005e-08	1.14653e-10	2.06195e-13	2.2856e-12	5.62209e-14	4.83032e-13	2.2658e-14	6.43778e-14
