time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.81446e-15	1.06312e-16	2.59103e-16	1.50341e-16	2.66754e-16	1.18965e-17	4.88224e-17	5.45516e-17	4.59892e-17
0.00909282	1.58912e-13	4.53541e-09	4.60098e-15	2.89453e-16	1.95449e-16	1.08844e-16	4.89768e-16	4.05847e-16	1.07181e-16
0.0181856	1.19767e-12	1.62304e-08	3.55358e-15	1.27385e-16	1.57004e-15	2.59357e-16	4.03985e-16	2.18168e-16	2.70235e-17
0.0272785	3.63675e-12	3.04959e-08	3.63629e-14	2.91359e-16	1.01176e-14	1.57021e-16	2.13728e-15	4.05662e-17	7.02242e-16
0.0363713	7.4941e-12	4.26137e-08	1.78188e-13	2.41846e-16	2.61888e-14	8.13311e-17	6.2526e-15	3.85755e-16	1.37039e-15
0.0454641	1.23981e-11	4.99236e-08	5.02878e-13	3.92357e-16	4.38978e-14	3.4062e-16	1.01078e-14	1.96248e-16	2.4538e-15
0.0545569	1.78378e-11	5.24131e-08	9.33757e-13	2.97493e-16	5.71572e-14	1.73994e-16	1.31819e-14	2.4327e-16	3.71836e-15
0.0636498	2.33893e-11	5.18244e-08	1.35132e-12	3.47653e-16	6.08467e-14	3.32538e-16	1.3845e-14	9.42149e-17	4.26229e-15
0.0727426	2.88227e-11	5.02562e-08	1.63217e-12	2.10738e-16	5.76636e-14	5.95186e-16	1.13978e-14	1.68723e-16	4.09524e-15
0.0818354	3.40734e-11	4.91436e-08	1.7572e-12	1.97494e-16	5.39901e-14	3.82281e-16	8.40845e-15	3.52968e-16	3.50737e-15
0.0909282	3.92143e-11	4.89527e-08	1.7953e-12	4.61235e-16	5.88882e-14	9.09953e-17	1.00796e-14	5.75148e-16	1.447e-15
0.100021	4.44296e-11	4.94592e-08	1.81897e-12	5.94843e-16	6.93592e-14	1.84978e-16	1.45991e-14	2.95808e-16	1.32003e-16
0.109114	4.97296e-11	5.02192e-08	1.90374e-12	5.93213e-16	7.09747e-14	3.9669e-16	1.47554e-14	4.75775e-16	8.18721e-16
0.118207	5.50803e-11	5.09016e-08	2.00671e-12	1.18178e-16	7.82366e-14	3.21715e-16	1.35297e-14	2.68705e-16	7.15746e-16
0.1273	6.04405e-11	5.1389e-08	2.11056e-12	2.2169e-16	9.78482e-14	2.0171e-16	1.4634e-14	1.12443e-16	4.29471e-16
0.136392	6.58771e-11	5.17207e-08	2.25576e-12	4.59239e-16	1.22386e-13	3.8044e-16	1.77352e-14	2.80924e-16	1.82568e-15
0.145485	7.13825e-11	5.1987e-08	2.40713e-12	7.98191e-17	1.37557e-13	1.92863e-16	1.81751e-14	3.33433e-16	2.95497e-15
0.154578	7.69114e-11	5.22598e-08	2.56471e-12	1.05732e-16	1.41398e-13	4.15774e-16	1.40618e-14	2.39494e-16	2.77732e-15
0.163671	8.24245e-11	5.25737e-08	2.67987e-12	7.99497e-16	1.44945e-13	2.767e-16	7.88505e-15	4.0057e-16	1.87226e-15
0.172764	8.79534e-11	5.29303e-08	2.81788e-12	2.47611e-16	1.50998e-13	3.53438e-16	4.49528e-15	1.039e-16	4.85279e-17
0.181856	9.35788e-11	5.33119e-08	2.98022e-12	4.11727e-16	1.54604e-13	3.93395e-16	7.89706e-15	1.67884e-16	1.44457e-15
0.190949	9.92538e-11	5.37011e-08	3.16639e-12	2.23161e-16	1.45386e-13	2.47231e-16	7.4259e-15	2.421e-16	1.80246e-15
0.200042	1.04931e-10	5.40931e-08	3.32831e-12	3.2864e-16	1.3161e-13	4.4782e-16	6.98284e-15	6.49703e-16	1.45451e-15
0.209135	1.10605e-10	5.44932e-08	3.54012e-12	8.47489e-16	1.24895e-13	4.34345e-16	1.21056e-14	6.38188e-16	1.87777e-16
0.218228	1.16379e-10	5.49091e-08	3.89063e-12	5.34698e-16	1.27958e-13	1.68117e-16	1.64983e-14	3.07605e-16	1.57472e-15
0.227321	1.2222e-10	5.53473e-08	4.40668e-12	3.3859e-16	1.23695e-13	3.05176e-16	1.50052e-14	6.69881e-16	2.2112e-15
0.236413	1.28078e-10	5.58146e-08	4.92917e-12	6.94088e-16	1.14229e-13	1.66683e-16	1.1802e-14	4.74763e-16	1.49982e-15
0.245506	1.33928e-10	5.63135e-08	5.32264e-12	6.06289e-16	1.07826e-13	3.3143e-16	9.66901e-15	5.68149e-16	6.87864e-17
0.254599	1.39885e-10	5.68411e-08	5.61335e-12	3.13322e-16	1.11861e-13	3.19265e-16	1.31523e-14	4.05438e-16	1.68524e-15
0.263692	1.45927e-10	5.73963e-08	5.81397e-12	1.80436e-16	1.10906e-13	3.4986e-16	1.25518e-14	4.78371e-17	2.51871e-15
0.272785	1.52003e-10	5.79834e-08	6.04504e-12	5.08076e-16	9.99575e-14	1.48495e-16	8.73372e-15	1.80364e-16	2.76241e-15
0.281878	1.58079e-10	5.8605e-08	6.25678e-12	4.63669e-16	8.7934e-14	4.68253e-16	7.59835e-15	3.56282e-16	1.16975e-15
0.29097	1.64269e-10	5.92567e-08	6.52863e-12	8.52158e-16	8.44763e-14	3.082e-16	1.18006e-14	2.5616e-16	2.26817e-16
0.300063	1.70564e-10	5.99353e-08	6.7052e-12	5.4642e-16	8.07946e-14	5.788e-16	1.33858e-14	6.05326e-16	1.35669e-15
0.309156	1.7691e-10	6.06458e-08	6.85176e-12	6.97421e-16	7.25352e-14	3.0893e-16	9.75892e-15	3.78759e-16	9.15718e-16
0.318249	1.83263e-10	6.13923e-08	6.95015e-12	3.81083e-16	6.69603e-14	1.67029e-16	9.61909e-15	2.73661e-16	6.3327e-17
0.327342	1.89736e-10	6.21688e-08	7.13629e-12	7.63998e-16	7.51653e-14	3.13702e-16	1.47263e-14	2.85457e-16	2.32697e-15
0.336435	1.96336e-10	6.29677e-08	7.38885e-12	7.61246e-16	8.16126e-14	1.30397e-16	1.55924e-14	7.03644e-16	3.69018e-15
0.345527	2.03002e-10	6.37919e-08	7.65197e-12	6.1005e-16	7.75672e-14	1.79041e-16	1.20886e-14	2.65499e-16	3.31446e-15
0.35462	2.09684e-10	6.46469e-08	7.8764e-12	1.24483e-15	7.2448e-14	3.12795e-16	9.67384e-15	9.36586e-16	1.96201e-15
