time	m=0	m=1	m=2	m=2	m=4	m=5	m=5	m=7	m=8
0	2.81446e-15	1.06312e-16	2.59103e-16	1.50341e-16	2.66754e-16	1.18965e-17	4.88224e-17	5.45516e-17	4.59892e-17
0.00909282	1.70986e-13	4.53337e-09	4.73495e-15	1.6751e-16	1.09136e-16	1.12335e-17	3.28421e-16	4.15763e-16	3.86696e-17
0.0181856	1.29164e-12	1.62009e-08	3.99343e-15	2.22389e-16	1.60591e-15	2.4842e-16	3.53361e-16	3.6658e-16	1.01235e-16
0.0272785	3.91621e-12	3.03674e-08	3.87618e-14	2.1675e-16	1.04118e-14	2.4057e-16	2.71021e-15	2.07315e-16	4.06121e-16
0.0363713	8.05224e-12	4.22833e-08	1.89176e-13	2.65731e-16	2.67352e-14	4.84484e-16	5.97482e-15	5.0631e-16	1.67912e-15
0.0454641	1.32882e-11	4.93018e-08	5.30459e-13	4.34546e-16	4.46492e-14	2.31233e-17	1.05668e-14	2.07074e-16	2.48733e-15
0.0545569	1.90609e-11	5.14676e-08	9.78326e-13	2.21539e-16	5.73278e-14	5.64182e-16	1.31325e-14	3.82213e-16	3.84654e-15
0.0636498	2.4916e-11	5.05963e-08	1.40503e-12	1.3943e-16	6.09062e-14	3.71967e-16	1.42527e-14	2.26119e-16	4.04723e-15
0.0727426	3.06119e-11	4.884e-08	1.67989e-12	4.51509e-16	5.75728e-14	1.27565e-16	1.06976e-14	6.62223e-16	4.17982e-15
0.0818354	3.6088e-11	4.76424e-08	1.79058e-12	4.06745e-16	5.42486e-14	1.63883e-16	7.71838e-15	4.65717e-16	3.01105e-15
0.0909282	4.14539e-11	4.74358e-08	1.81592e-12	3.38329e-16	5.96684e-14	3.027e-16	1.18825e-14	2.52237e-16	1.37174e-15
0.100021	4.68983e-11	4.79463e-08	1.82847e-12	2.25808e-16	6.91858e-14	4.48771e-16	1.33135e-14	6.06267e-16	3.06594e-16
0.109114	5.24301e-11	4.86938e-08	1.9103e-12	3.94081e-16	7.01625e-14	7.75368e-16	1.55157e-14	5.55659e-16	1.19646e-15
0.118207	5.80126e-11	4.93337e-08	2.00318e-12	4.97143e-16	7.79092e-14	4.12404e-16	1.21473e-14	5.96855e-16	5.79739e-16
0.1273	6.36015e-11	4.97536e-08	2.10415e-12	4.44173e-16	9.84603e-14	4.6602e-16	1.53026e-14	3.59056e-16	4.15078e-16
0.136392	6.92617e-11	5.00056e-08	2.24461e-12	3.00617e-16	1.2362e-13	3.18468e-16	2.00775e-14	1.83845e-16	2.3482e-15
0.145485	7.49859e-11	5.01924e-08	2.39047e-12	5.30043e-16	1.38585e-13	5.15323e-16	1.64829e-14	5.36688e-16	2.9625e-15
0.154578	8.07322e-11	5.03919e-08	2.54079e-12	1.60091e-16	1.42453e-13	5.67253e-16	1.84789e-14	5.95254e-16	3.18074e-15
0.163671	8.64554e-11	5.06377e-08	2.64591e-12	4.26616e-16	1.46053e-13	4.54599e-16	2.79139e-15	5.74814e-16	2.08264e-15
0.172764	9.21819e-11	5.09275e-08	2.77503e-12	5.14075e-16	1.52701e-13	4.43826e-16	1.05354e-14	3.4576e-16	2.3472e-16
0.181856	9.8e-11	5.12395e-08	2.93358e-12	5.8627e-16	1.57644e-13	3.4903e-16	1.49332e-14	1.44104e-15	1.59955e-15
0.190949	1.0387e-10	5.1554e-08	3.11389e-12	1.70246e-16	1.48691e-13	8.37393e-16	6.30131e-15	1.12981e-15	2.19607e-15
0.200042	1.09742e-10	5.1866e-08	3.27683e-12	8.15688e-16	1.34864e-13	2.35003e-16	2.03726e-14	9.36671e-16	1.74803e-15
0.209135	1.15595e-10	5.21828e-08	3.48196e-12	2.07764e-16	1.28528e-13	2.46588e-16	1.66836e-14	1.88406e-15	5.94768e-17
0.218228	1.21534e-10	5.25132e-08	3.83825e-12	4.00503e-16	1.32283e-13	8.9789e-16	2.55752e-14	1.55866e-15	1.26672e-15
0.227321	1.27543e-10	5.28646e-08	4.36862e-12	3.83015e-16	1.30566e-13	4.32157e-16	3.46533e-14	2.22915e-15	2.17871e-15
0.236413	1.33573e-10	5.32434e-08	4.91151e-12	3.9757e-16	1.20871e-13	2.41516e-16	2.61853e-14	3.09168e-15	1.5914e-15
0.245506	1.39583e-10	5.36519e-08	5.30962e-12	3.29065e-16	1.14654e-13	8.80139e-16	5.02306e-14	2.3464e-15	4.16907e-16
